size	128
T	2.5
J	1
H	0
x	y
0 34	0 35
0 50	0 51
0 51	0 52
0 56	0 57
0 56	1 56
0 57	1 57
1 15	1 16
1 15	2 15
1 16	2 16
1 56	1 57
2 14	2 15
2 14	3 14
2 16	3 16
2 46	2 47
2 46	3 46
2 47	3 47
2 62	2 63
2 62	3 62
2 63	3 63
2 120	2 121
2 120	3 120
2 121	3 121
2 123	2 124
2 123	3 123
2 124	3 124
3 14	3 15
3 15	3 16
3 46	3 47
3 62	3 63
3 82	3 83
3 82	4 82
3 83	4 83
3 84	3 85
3 84	4 84
3 85	4 85
3 120	3 121
3 123	3 124
4 12	4 13
4 12	5 12
4 13	4 14
4 14	5 14
4 20	4 21
4 20	5 20
4 21	5 21
4 43	4 44
4 43	5 43
4 44	5 44
4 82	4 83
4 84	4 85
5 12	5 13
5 13	6 13
5 14	6 14
5 18	5 19
5 18	6 18
5 19	5 20
5 21	6 21
5 43	5 44
5 118	5 119
5 118	6 118
5 119	6 119
6 11	6 12
6 11	7 11
6 12	7 12
6 13	6 14
6 18	7 18
6 19	6 20
6 19	7 19
6 20	6 21
6 117	6 118
6 117	7 117
6 119	7 119
7 11	8 11
7 12	7 13
7 13	8 13
7 15	7 16
7 15	8 15
7 16	8 16
7 17	7 18
7 17	8 17
7 18	7 19
7 18	8 18
7 58	7 59
7 58	8 58
7 59	8 59
7 117	7 118
7 118	7 119
8 11	8 12
8 12	8 13
8 15	8 16
8 17	9 17
8 18	8 19
8 19	9 19
8 44	8 45
8 44	9 44
8 45	9 45
8 58	8 59
8 79	8 80
8 79	9 79
8 80	9 80
9 13	9 14
9 13	10 13
9 14	9 15
9 15	10 15
9 17	9 18
9 18	9 19
9 44	9 45
9 79	9 80
10 13	11 13
10 14	10 15
10 14	11 14
10 44	10 45
10 44	11 44
10 45	11 45
10 52	10 53
10 52	11 52
10 53	10 54
10 54	11 54
10 60	10 61
10 60	11 60
10 61	11 61
10 63	10 64
10 63	11 63
10 64	11 64
10 75	10 76
10 75	11 75
10 76	10 77
10 77	11 77
10 104	10 105
10 104	11 104
10 105	11 105
10 107	10 108
10 107	11 107
10 108	10 109
10 109	11 109
10 111	10 112
10 111	11 111
10 112	11 112
11 13	11 14
11 44	11 45
11 52	12 52
11 54	12 54
11 59	11 60
11 59	12 59
11 60	11 61
11 60	12 60
11 63	11 64
11 75	11 76
11 76	11 77
11 104	11 105
11 105	11 106
11 105	12 105
11 106	11 107
11 109	12 109
11 111	11 112
12 0	12 1
12 0	13 0
12 1	13 1
12 52	12 53
12 53	13 53
12 54	13 54
12 59	12 60
12 77	12 78
12 77	13 77
12 78	13 78
12 105	13 105
12 109	13 109
13 1	14 1
13 40	13 41
13 40	14 40
13 41	14 41
13 53	13 54
13 54	13 55
13 54	14 54
13 55	14 55
13 72	13 73
13 72	14 72
13 73	13 74
13 74	13 75
13 75	14 75
13 77	13 78
13 104	13 105
13 104	14 104
13 108	13 109
13 108	14 108
13 109	13 110
13 109	14 109
13 110	14 110
13 127	13 128
13 127	14 127
14 0	14 1
14 34	14 35
14 34	15 34
14 35	14 36
14 36	15 36
14 39	14 40
14 39	15 39
14 41	15 41
14 54	14 55
14 69	14 70
14 69	15 69
14 70	15 70
14 72	14 73
14 73	14 74
14 74	14 75
14 104	15 104
14 108	15 108
14 109	14 110
14 127	14 128
15 34	15 35
15 35	15 36
15 39	15 40
15 40	16 40
15 41	16 41
15 60	15 61
15 60	16 60
15 61	16 61
15 69	16 69
15 70	16 70
15 104	16 104
15 107	15 108
15 107	16 107
15 114	15 115
15 114	16 114
15 115	15 116
15 116	16 116
16 19	16 20
16 19	17 19
16 20	17 20
16 40	16 41
16 60	16 61
16 68	16 69
16 68	17 68
16 70	17 70
16 83	16 84
16 83	17 83
16 84	17 84
16 104	17 104
16 107	17 107
16 114	17 114
16 116	17 116
16 118	16 119
16 118	17 118
16 119	17 119
17 19	17 20
17 38	17 39
17 38	18 38
17 39	18 39
17 68	17 69
17 69	17 70
17 83	18 83
17 84	17 85
17 85	18 85
17 104	17 105
17 105	18 105
17 107	18 107
17 114	17 115
17 115	17 116
17 116	17 117
17 116	18 116
17 117	18 117
17 118	17 119
18 38	18 39
18 57	18 58
18 57	19 57
18 58	18 59
18 59	19 59
18 83	19 83
18 84	18 85
18 84	19 84
18 91	18 92
18 91	19 91
18 92	19 92
18 104	18 105
18 104	19 104
18 107	19 107
18 116	18 117
18 117	18 118
18 117	19 117
18 118	19 118
19 13	19 14
19 13	20 13
19 14	20 14
19 49	19 50
19 49	20 49
19 50	20 50
19 56	19 57
19 56	20 56
19 59	20 59
19 83	19 84
19 91	19 92
19 95	19 96
19 95	20 95
19 96	20 96
19 104	19 105
19 105	19 106
19 106	19 107
19 117	19 118
19 124	19 125
19 124	20 124
19 125	20 125
20 13	20 14
20 49	20 50
20 56	20 57
20 57	21 57
20 58	20 59
20 58	21 58
20 72	20 73
20 72	21 72
20 73	21 73
20 95	20 96
20 124	20 125
21 14	21 15
21 14	22 14
21 15	22 15
21 56	21 57
21 56	22 56
21 58	22 58
21 72	21 73
22 14	22 15
22 56	22 57
22 57	23 57
22 58	23 58
22 63	22 64
22 63	23 63
22 64	23 64
22 81	22 82
22 81	23 81
22 82	23 82
22 90	22 91
22 90	23 90
22 91	23 91
22 109	22 110
22 109	23 109
22 110	22 111
22 111	23 111
23 47	23 48
23 47	24 47
23 48	24 48
23 57	23 58
23 63	23 64
23 81	23 82
23 90	24 90
23 91	24 91
23 109	23 110
23 110	23 111
24 47	24 48
24 66	24 67
24 66	25 66
24 67	24 68
24 68	25 68
24 69	24 70
24 69	25 69
24 70	25 70
24 90	24 91
25 1	25 2
25 1	26 1
25 2	25 3
25 3	25 4
25 4	26 4
25 58	25 59
25 58	26 58
25 59	26 59
25 63	25 64
25 63	26 63
25 64	26 64
25 66	25 67
25 67	25 68
25 69	25 70
25 113	25 114
25 113	26 113
25 114	26 114
26 1	26 2
26 2	26 3
26 3	26 4
26 58	27 58
26 59	27 59
26 63	27 63
26 64	27 64
26 91	26 92
26 91	27 91
26 92	27 92
26 113	26 114
27 30	27 31
27 30	28 30
27 31	28 31
27 43	27 44
27 43	28 43
27 44	27 45
27 45	28 45
27 58	27 59
27 63	27 64
27 65	27 66
27 65	28 65
27 66	28 66
27 91	27 92
27 101	27 102
27 101	28 101
27 102	28 102
27 104	27 105
27 104	28 104
27 105	28 105
27 108	27 109
27 108	28 108
27 109	28 109
28 30	28 31
28 43	28 44
28 44	28 45
28 65	28 66
28 101	29 101
28 102	29 102
28 104	29 104
28 105	29 105
28 108	28 109
28 126	28 127
28 126	29 126
28 127	29 127
29 31	29 32
29 31	30 31
29 32	30 32
29 53	29 54
29 53	30 53
29 54	30 54
29 101	30 101
29 102	30 102
29 104	29 105
29 126	29 127
30 0	30 1
30 1	31 1
30 31	30 32
30 53	30 54
30 54	30 55
30 54	31 54
30 55	30 56
30 56	31 56
30 101	31 101
30 102	30 103
30 103	31 103
30 104	30 105
30 104	31 104
30 105	31 105
30 127	30 128
30 127	31 127
31 0	31 1
31 12	31 13
31 12	32 12
31 13	32 13
31 51	31 52
31 51	32 51
31 52	32 52
31 53	31 54
31 53	32 53
31 54	31 55
31 54	32 54
31 55	31 56
31 58	31 59
31 58	32 58
31 59	32 59
31 65	31 66
31 65	32 65
31 66	32 66
31 94	31 95
31 94	32 94
31 95	31 96
31 96	32 96
31 100	31 101
31 100	32 100
31 103	32 103
31 104	31 105
31 127	31 128
32 5	32 6
32 5	33 5
32 6	33 6
32 12	32 13
32 51	32 52
32 53	32 54
32 58	33 58
32 59	33 59
32 65	32 66
32 94	32 95
32 95	32 96
32 100	32 101
32 101	32 102
32 102	32 103
32 104	32 105
32 104	33 104
32 105	33 105
33 5	33 6
33 50	33 51
33 50	34 50
33 51	34 51
33 58	34 58
33 59	34 59
33 104	33 105
34 3	34 4
34 3	35 3
34 4	35 4
34 33	34 34
34 33	35 33
34 34	35 34
34 50	34 51
34 58	34 59
34 70	34 71
34 70	35 70
34 71	35 71
34 112	34 113
34 112	35 112
34 113	35 113
35 0	35 1
35 1	36 1
35 3	35 4
35 33	35 34
35 70	35 71
35 103	35 104
35 103	36 103
35 104	36 104
35 107	35 108
35 107	36 107
35 108	36 108
35 111	35 112
35 111	36 111
35 112	35 113
35 112	36 112
35 124	35 125
35 124	36 124
35 125	36 125
35 127	35 128
35 127	36 127
36 0	36 1
36 103	36 104
36 107	36 108
36 111	36 112
36 124	36 125
36 126	36 127
36 126	37 126
36 127	36 128
36 127	37 127
37 0	38 0
37 53	37 54
37 53	38 53
37 54	38 54
37 65	37 66
37 65	38 65
37 66	38 66
37 77	37 78
37 77	38 77
37 78	38 78
37 120	37 121
37 120	38 120
37 121	38 121
37 124	37 125
37 124	38 124
37 125	37 126
37 127	37 128
38 0	39 0
38 43	38 44
38 43	39 43
38 44	38 45
38 45	39 45
38 53	38 54
38 65	38 66
38 77	38 78
38 90	38 91
38 90	39 90
38 91	39 91
38 93	38 94
38 93	39 93
38 94	39 94
38 120	38 121
38 122	38 123
38 122	39 122
38 123	38 124
39 0	39 1
39 1	39 2
39 2	39 3
39 3	40 3
39 4	39 5
39 4	40 4
39 5	40 5
39 43	39 44
39 44	39 45
39 54	39 55
39 54	40 54
39 55	40 55
39 90	40 90
39 91	40 91
39 93	39 94
39 111	39 112
39 111	40 111
39 112	40 112
39 122	39 123
39 123	40 123
40 3	40 4
40 5	40 6
40 6	41 6
40 30	40 31
40 30	41 30
40 31	41 31
40 54	41 54
40 55	41 55
40 88	40 89
40 88	41 88
40 89	41 89
40 90	40 91
40 91	40 92
40 91	41 91
40 92	41 92
40 103	40 104
40 103	41 103
40 104	41 104
40 110	40 111
40 110	41 110
40 112	40 113
40 113	41 113
40 118	40 119
40 118	41 118
40 119	41 119
40 123	41 123
41 6	41 7
41 7	42 7
41 30	41 31
41 39	41 40
41 39	42 39
41 40	42 40
41 54	41 55
41 88	41 89
41 91	42 91
41 92	42 92
41 103	41 104
41 110	42 110
41 111	41 112
41 111	42 111
41 112	41 113
41 118	41 119
41 123	42 123
42 6	42 7
42 6	43 6
42 10	42 11
42 10	43 10
42 11	42 12
42 12	43 12
42 24	42 25
42 24	43 24
42 25	42 26
42 26	43 26
42 34	42 35
42 34	43 34
42 35	43 35
42 39	42 40
42 43	42 44
42 43	43 43
42 44	42 45
42 45	42 46
42 46	42 47
42 47	43 47
42 55	42 56
42 55	43 55
42 56	42 57
42 57	42 58
42 58	42 59
42 59	43 59
42 83	42 84
42 83	43 83
42 84	43 84
42 91	42 92
42 110	42 111
42 121	42 122
42 121	43 121
42 122	43 122
42 123	43 123
43 4	43 5
43 4	44 4
43 5	43 6
43 10	43 11
43 11	43 12
43 24	43 25
43 25	43 26
43 34	43 35
43 38	43 39
43 38	44 38
43 39	44 39
43 43	44 43
43 44	43 45
43 44	44 44
43 45	43 46
43 46	43 47
43 48	43 49
43 48	44 48
43 49	44 49
43 55	43 56
43 56	44 56
43 57	43 58
43 57	44 57
43 58	44 58
43 59	44 59
43 83	43 84
43 91	43 92
43 91	44 91
43 92	44 92
43 117	43 118
43 117	44 117
43 118	43 119
43 119	44 119
43 120	43 121
43 120	44 120
43 121	43 122
43 121	44 121
43 123	44 123
44 0	44 1
44 0	45 0
44 1	44 2
44 2	44 3
44 3	44 4
44 38	44 39
44 43	44 44
44 48	44 49
44 56	44 57
44 58	44 59
44 72	44 73
44 72	45 72
44 73	44 74
44 74	45 74
44 91	44 92
44 93	44 94
44 93	45 93
44 94	45 94
44 117	44 118
44 118	44 119
44 119	44 120
44 119	45 119
44 121	44 122
44 122	44 123
44 123	44 124
44 123	45 123
44 124	45 124
45 0	46 0
45 43	45 44
45 43	46 43
45 44	46 44
45 62	45 63
45 62	46 62
45 63	46 63
45 72	45 73
45 73	46 73
45 74	46 74
45 92	45 93
45 92	46 92
45 94	46 94
45 114	45 115
45 114	46 114
45 115	46 115
45 118	45 119
45 118	46 118
45 119	45 120
45 119	46 119
45 120	45 121
45 121	46 121
45 123	45 124
46 42	46 43
46 42	47 42
46 44	47 44
46 62	46 63
46 73	47 73
46 74	46 75
46 75	46 76
46 76	47 76
46 92	46 93
46 93	46 94
46 114	46 115
46 118	46 119
46 121	47 121
46 127	46 128
46 127	47 127
47 42	47 43
47 43	47 44
47 72	47 73
47 72	48 72
47 73	47 74
47 73	48 73
47 74	48 74
47 75	47 76
47 75	48 75
47 106	47 107
47 106	48 106
47 107	48 107
47 121	47 122
47 122	47 123
47 123	47 124
47 124	47 125
47 125	47 126
47 126	48 126
47 127	48 127
48 1	48 2
48 1	49 1
48 2	49 2
48 72	49 72
48 73	48 74
48 75	49 75
48 98	48 99
48 98	49 98
48 99	48 100
48 100	48 101
48 101	49 101
48 106	48 107
48 111	48 112
48 111	49 111
48 112	49 112
48 119	48 120
48 119	49 119
48 120	49 120
48 126	48 127
49 1	49 2
49 41	49 42
49 41	50 41
49 42	50 42
49 72	50 72
49 73	49 74
49 73	50 73
49 74	50 74
49 75	50 75
49 98	50 98
49 101	50 101
49 111	49 112
49 118	49 119
49 118	50 118
49 119	49 120
49 119	50 119
49 123	49 124
49 123	50 123
49 124	50 124
50 27	50 28
50 27	51 27
50 28	51 28
50 35	50 36
50 35	51 35
50 36	51 36
50 41	50 42
50 72	50 73
50 74	50 75
50 98	50 99
50 99	50 100
50 100	50 101
50 102	50 103
50 102	51 102
50 103	51 103
50 118	50 119
50 123	50 124
51 27	51 28
51 35	51 36
51 36	51 37
51 36	52 36
51 37	51 38
51 38	52 38
51 77	51 78
51 77	52 77
51 78	52 78
51 89	51 90
51 89	52 89
51 90	52 90
51 96	51 97
51 96	52 96
51 97	52 97
51 102	51 103
51 106	51 107
51 106	52 106
51 107	52 107
51 109	51 110
51 109	52 109
51 110	51 111
51 111	51 112
51 112	52 112
51 124	51 125
51 124	52 124
51 125	52 125
52 9	52 10
52 9	53 9
52 10	52 11
52 11	52 12
52 12	52 13
52 13	53 13
52 36	52 37
52 37	52 38
52 46	52 47
52 46	53 46
52 47	53 47
52 54	52 55
52 54	53 54
52 55	53 55
52 77	52 78
52 89	52 90
52 96	52 97
52 106	52 107
52 109	52 110
52 110	52 111
52 111	52 112
52 124	52 125
53 8	53 9
53 8	54 8
53 13	54 13
53 27	53 28
53 27	54 27
53 28	54 28
53 46	54 46
53 47	54 47
53 54	53 55
53 106	53 107
53 106	54 106
53 107	54 107
54 7	54 8
54 7	55 7
54 10	54 11
54 10	55 10
54 11	54 12
54 12	54 13
54 21	54 22
54 21	55 21
54 22	54 23
54 23	55 23
54 27	54 28
54 31	54 32
54 31	55 31
54 32	55 32
54 46	54 47
54 52	54 53
54 52	55 52
54 53	55 53
54 60	54 61
54 60	55 60
54 61	55 61
54 106	54 107
55 6	55 7
55 6	56 6
55 9	55 10
55 9	56 9
55 20	55 21
55 20	56 20
55 23	56 23
55 31	56 31
55 32	56 32
55 52	55 53
55 60	55 61
55 84	55 85
55 84	56 84
55 85	55 86
55 86	56 86
55 110	55 111
55 110	56 110
55 111	56 111
56 6	56 7
56 7	56 8
56 8	56 9
56 20	56 21
56 21	57 21
56 23	57 23
56 31	56 32
56 34	56 35
56 34	57 34
56 35	56 36
56 36	57 36
56 84	57 84
56 85	56 86
56 85	57 85
56 110	56 111
57 21	58 21
57 23	58 23
57 32	57 33
57 32	58 32
57 33	58 33
57 34	57 35
57 35	57 36
57 72	57 73
57 72	58 72
57 73	58 73
57 84	57 85
57 101	57 102
57 101	58 101
57 102	58 102
57 108	57 109
57 108	58 108
57 109	58 109
57 119	57 120
57 119	58 119
57 120	58 120
58 21	58 22
58 22	59 22
58 23	59 23
58 32	58 33
58 72	58 73
58 101	58 102
58 106	58 107
58 106	59 106
58 107	58 108
58 109	59 109
58 119	58 120
58 123	58 124
58 123	59 123
58 124	59 124
59 4	59 5
59 4	60 4
59 5	60 5
59 19	59 20
59 19	60 19
59 20	60 20
59 22	60 22
59 23	59 24
59 24	60 24
59 32	59 33
59 32	60 32
59 33	59 34
59 34	60 34
59 49	59 50
59 49	60 49
59 50	60 50
59 52	59 53
59 52	60 52
59 53	60 53
59 106	60 106
59 107	59 108
59 107	60 107
59 108	59 109
59 123	59 124
60 4	60 5
60 19	60 20
60 20	60 21
60 20	61 20
60 21	61 21
60 22	61 22
60 23	60 24
60 23	61 23
60 32	60 33
60 33	60 34
60 49	60 50
60 52	60 53
60 105	60 106
60 105	61 105
60 107	61 107
60 116	60 117
60 116	61 116
60 117	61 117
61 19	61 20
61 19	62 19
61 21	61 22
61 22	61 23
61 22	62 22
61 28	61 29
61 28	62 28
61 29	61 30
61 30	62 30
61 50	61 51
61 50	62 50
61 51	62 51
61 87	61 88
61 87	62 87
61 88	61 89
61 89	62 89
61 92	61 93
61 92	62 92
61 93	62 93
61 105	62 105
61 107	62 107
61 116	61 117
62 12	62 13
62 12	63 12
62 13	63 13
62 19	62 20
62 20	63 20
62 22	63 22
62 27	62 28
62 27	63 27
62 28	62 29
62 28	63 28
62 29	63 29
62 30	63 30
62 50	62 51
62 78	62 79
62 78	63 78
62 79	63 79
62 87	62 88
62 88	62 89
62 92	62 93
62 96	62 97
62 96	63 96
62 97	63 97
62 101	62 102
62 101	63 101
62 102	62 103
62 103	63 103
62 105	62 106
62 106	62 107
63 12	63 13
63 20	64 20
63 22	63 23
63 23	64 23
63 27	64 27
63 28	64 28
63 29	64 29
63 30	63 31
63 31	64 31
63 78	64 78
63 79	63 80
63 80	63 81
63 81	64 81
63 96	63 97
63 101	63 102
63 102	63 103
64 20	64 21
64 21	64 22
64 22	64 23
64 27	64 28
64 29	65 29
64 31	65 31
64 78	64 79
64 79	65 79
64 81	65 81
65 27	65 28
65 27	66 27
65 28	65 29
65 31	66 31
65 79	66 79
65 81	66 81
65 120	65 121
65 120	66 120
65 121	66 121
66 26	66 27
66 26	67 26
66 31	67 31
66 41	66 42
66 41	67 41
66 42	67 42
66 79	66 80
66 80	66 81
66 96	66 97
66 96	67 96
66 97	67 97
66 101	66 102
66 101	67 101
66 102	66 103
66 103	66 104
66 104	66 105
66 105	66 106
66 106	67 106
66 120	66 121
67 26	67 27
67 27	68 27
67 31	67 32
67 32	68 32
67 41	67 42
67 96	67 97
67 101	67 102
67 102	68 102
67 103	67 104
67 103	68 103
67 104	67 105
67 105	68 105
67 106	68 106
68 27	68 28
68 28	69 28
68 29	68 30
68 29	69 29
68 30	68 31
68 31	68 32
68 102	68 103
68 105	69 105
68 106	69 106
68 115	68 116
68 115	69 115
68 116	69 116
68 125	68 126
68 125	69 125
68 126	69 126
69 28	69 29
69 78	69 79
69 78	70 78
69 79	69 80
69 80	70 80
69 100	69 101
69 100	70 100
69 101	69 102
69 102	70 102
69 105	69 106
69 115	69 116
69 125	69 126
70 78	70 79
70 79	71 79
70 80	70 81
70 81	71 81
70 100	70 101
70 101	70 102
70 116	70 117
70 116	71 116
70 117	70 118
70 118	71 118
71 1	71 2
71 1	72 1
71 2	72 2
71 14	71 15
71 14	72 14
71 15	72 15
71 23	71 24
71 23	72 23
71 24	72 24
71 25	71 26
71 25	72 25
71 26	72 26
71 79	71 80
71 80	71 81
71 86	71 87
71 86	72 86
71 87	72 87
71 115	71 116
71 115	72 115
71 118	71 119
71 119	72 119
72 0	72 1
72 0	73 0
72 1	72 2
72 1	73 1
72 4	72 5
72 4	73 4
72 5	73 5
72 14	73 14
72 15	73 15
