size	128
T	2.5
J	1
H	0
x	y
0 34	0 35
0 42	0 43
0 42	1 42
0 43	1 43
0 51	0 52
0 52	1 52
0 57	0 58
0 58	1 58
0 123	1 123
0 124	1 124
1 15	1 16
1 15	2 15
1 16	2 16
1 42	1 43
1 52	1 53
1 53	1 54
1 54	2 54
1 58	2 58
1 123	2 123
1 124	2 124
2 14	2 15
2 14	3 14
2 16	3 16
2 46	2 47
2 46	3 46
2 47	3 47
2 54	2 55
2 55	2 56
2 56	3 56
2 58	3 58
2 62	2 63
2 62	3 62
2 63	3 63
2 120	2 121
2 120	3 120
2 121	3 121
2 123	2 124
3 14	3 15
3 15	3 16
3 46	3 47
3 53	3 54
3 53	4 53
3 54	3 55
3 55	3 56
3 58	4 58
3 62	3 63
3 84	3 85
3 84	4 84
3 85	4 85
3 120	3 121
4 12	4 13
4 12	5 12
4 13	4 14
4 14	5 14
4 20	4 21
4 20	5 20
4 21	5 21
4 53	5 53
4 57	4 58
4 57	5 57
4 84	4 85
5 12	5 13
5 13	6 13
5 14	6 14
5 18	5 19
5 18	6 18
5 19	5 20
5 21	6 21
5 53	6 53
5 57	6 57
5 118	5 119
5 118	6 118
5 119	6 119
6 11	6 12
6 11	7 11
6 12	7 12
6 13	6 14
6 18	7 18
6 19	6 20
6 19	7 19
6 20	6 21
6 52	6 53
6 52	7 52
6 54	6 55
6 54	7 54
6 55	6 56
6 56	6 57
6 117	6 118
6 117	7 117
6 119	7 119
7 11	8 11
7 12	7 13
7 13	8 13
7 15	7 16
7 15	8 15
7 16	8 16
7 18	7 19
7 52	8 52
7 54	8 54
7 58	7 59
7 58	8 58
7 59	8 59
7 111	7 112
7 111	8 111
7 112	7 113
7 113	8 113
7 117	7 118
7 118	7 119
8 11	8 12
8 12	8 13
8 15	8 16
8 52	9 52
8 54	8 55
8 55	9 55
8 58	8 59
8 111	9 111
8 113	9 113
9 13	9 14
9 13	10 13
9 14	9 15
9 15	10 15
9 52	10 52
9 55	9 56
9 56	10 56
9 111	9 112
9 112	9 113
10 13	11 13
10 14	10 15
10 14	11 14
10 44	10 45
10 44	11 44
10 45	11 45
10 52	10 53
10 53	10 54
10 54	10 55
10 55	10 56
10 60	10 61
10 60	11 60
10 61	11 61
11 13	11 14
11 44	11 45
11 59	11 60
11 59	12 59
11 60	11 61
11 60	12 60
12 0	12 1
12 0	13 0
12 1	13 1
12 59	12 60
13 1	14 1
13 127	13 128
13 127	14 127
14 0	14 1
14 127	14 128
15 39	15 40
15 39	16 39
15 40	16 40
15 104	15 105
15 104	16 104
15 105	16 105
15 110	15 111
15 110	16 110
15 111	15 112
15 112	16 112
16 19	16 20
16 19	17 19
16 20	17 20
16 39	16 40
16 41	16 42
16 41	17 41
16 42	17 42
16 104	16 105
16 110	16 111
16 111	17 111
16 112	17 112
17 19	17 20
17 41	17 42
17 111	17 112
17 113	17 114
17 113	18 113
17 114	17 115
17 115	17 116
17 116	18 116
18 91	18 92
18 91	19 91
18 92	19 92
18 113	19 113
18 116	19 116
19 91	19 92
19 95	19 96
19 95	20 95
19 96	20 96
19 113	20 113
19 115	19 116
19 115	20 115
19 124	19 125
19 124	20 124
19 125	20 125
20 95	20 96
20 106	20 107
20 106	21 106
20 107	21 107
20 113	20 114
20 114	21 114
20 115	21 115
20 124	20 125
21 106	21 107
21 114	22 114
21 115	22 115
22 90	22 91
22 90	23 90
22 91	23 91
22 114	22 115
23 90	24 90
23 91	24 91
24 64	24 65
24 64	25 64
24 65	25 65
24 89	24 90
24 89	25 89
24 91	24 92
24 92	25 92
25 57	25 58
25 57	26 57
25 58	26 58
25 64	25 65
25 88	25 89
25 88	26 88
25 92	26 92
26 57	26 58
26 88	26 89
26 89	27 89
26 91	26 92
26 91	27 91
26 104	26 105
26 104	27 104
26 105	27 105
26 125	26 126
26 125	27 125
26 126	27 126
27 30	27 31
27 30	28 30
27 31	28 31
27 43	27 44
27 43	28 43
27 44	27 45
27 45	28 45
27 63	27 64
27 63	28 63
27 64	27 65
27 65	28 65
27 89	27 90
27 90	28 90
27 91	28 91
27 104	27 105
27 125	28 125
27 126	28 126
28 30	28 31
28 43	28 44
28 44	28 45
28 63	28 64
28 64	28 65
28 90	28 91
28 103	28 104
28 103	29 103
28 104	29 104
28 112	28 113
28 112	29 112
28 113	28 114
28 114	29 114
28 125	28 126
29 31	29 32
29 31	30 31
29 32	30 32
29 70	29 71
29 70	30 70
29 71	30 71
29 103	30 103
29 104	30 104
29 112	29 113
29 113	29 114
29 123	29 124
29 123	30 123
29 124	30 124
30 29	30 30
30 29	31 29
30 30	30 31
30 31	30 32
30 31	31 31
30 70	31 70
30 71	31 71
30 103	30 104
30 104	30 105
30 104	31 104
30 105	31 105
30 115	30 116
30 115	31 115
30 116	31 116
30 123	31 123
30 124	31 124
31 15	31 16
31 15	32 15
31 16	32 16
31 28	31 29
31 28	32 28
31 31	31 32
31 32	32 32
31 70	31 71
31 104	31 105
31 115	32 115
31 116	32 116
31 123	31 124
32 15	32 16
32 28	33 28
32 32	33 32
32 115	32 116
33 2	33 3
33 2	34 2
33 3	34 3
33 28	33 29
33 29	33 30
33 30	34 30
33 32	34 32
34 2	34 3
34 30	34 31
34 31	34 32
35 104	35 105
35 104	36 104
35 105	36 105
36 104	36 105
37 88	37 89
37 88	38 88
37 89	38 89
38 88	39 88
38 89	39 89
39 88	39 89
40 87	40 88
40 87	41 87
40 88	40 89
40 89	40 90
40 90	41 90
41 87	42 87
41 89	41 90
41 89	42 89
41 94	41 95
41 94	42 94
41 95	42 95
41 96	41 97
41 96	42 96
41 97	42 97
42 34	42 35
42 34	43 34
42 35	43 35
42 83	42 84
42 83	43 83
42 84	43 84
42 87	42 88
42 88	42 89
42 94	42 95
42 96	42 97
42 97	42 98
42 97	43 97
42 98	42 99
42 99	43 99
43 34	43 35
43 83	43 84
43 89	43 90
43 89	44 89
43 90	44 90
43 97	43 98
43 98	43 99
44 4	44 5
44 4	45 4
44 5	45 5
44 89	45 89
44 90	45 90
45 4	45 5
45 62	45 63
45 62	46 62
45 63	46 63
45 89	45 90
46 62	46 63
46 99	46 100
46 99	47 99
46 100	47 100
47 99	47 100
51 89	51 90
51 89	52 89
51 90	52 90
51 100	51 101
51 100	52 100
51 101	52 101
52 89	52 90
52 94	52 95
52 94	53 94
52 95	53 95
52 100	52 101
52 101	52 102
52 101	53 101
52 102	53 102
53 94	54 94
53 95	53 96
53 96	54 96
53 101	53 102
54 94	54 95
54 95	54 96
54 101	54 102
54 101	55 101
54 102	55 102
55 94	55 95
55 94	56 94
55 95	56 95
55 98	55 99
55 98	56 98
55 99	56 99
55 101	55 102
56 93	56 94
56 93	57 93
56 95	57 95
56 98	56 99
56 111	56 112
56 111	57 111
56 112	57 112
57 93	58 93
57 95	58 95
57 111	57 112
58 28	58 29
58 28	59 28
58 29	59 29
58 93	58 94
58 94	58 95
59 4	59 5
59 4	60 4
59 5	60 5
59 28	59 29
60 4	60 5
60 29	60 30
60 29	61 29
60 30	61 30
61 29	62 29
61 30	62 30
62 12	62 13
62 12	63 12
62 13	63 13
62 29	62 30
62 50	62 51
62 50	63 50
62 51	63 51
63 12	63 13
63 48	63 49
63 48	64 48
63 49	64 49
63 50	63 51
64 48	64 49
64 83	64 84
64 83	65 83
64 84	65 84
65 83	65 84
65 120	65 121
65 120	66 120
65 121	66 121
66 41	66 42
66 41	67 41
66 42	67 42
66 46	66 47
66 46	67 46
66 47	67 47
66 120	66 121
67 41	67 42
67 46	67 47
68 78	68 79
68 78	69 78
68 79	69 79
68 115	68 116
68 115	69 115
68 116	69 116
68 125	68 126
68 125	69 125
68 126	69 126
69 78	70 78
69 79	69 80
69 80	70 80
69 115	70 115
69 116	70 116
69 125	69 126
70 78	70 79
70 79	71 79
70 80	70 81
70 81	71 81
70 87	70 88
70 87	71 87
70 88	71 88
70 115	70 116
71 1	71 2
71 1	72 1
71 2	72 2
71 25	71 26
71 25	72 25
71 26	72 26
71 79	71 80
71 80	71 81
71 87	71 88
72 0	72 1
72 0	73 0
72 1	72 2
72 1	73 1
72 4	72 5
72 4	73 4
72 5	73 5
72 25	73 25
72 26	72 27
72 27	72 28
72 28	73 28
72 75	72 76
72 75	73 75
72 76	73 76
73 0	73 1
73 4	74 4
73 5	74 5
73 6	73 7
73 6	74 6
73 7	74 7
73 25	74 25
73 28	74 28
73 68	73 69
73 68	74 68
73 69	73 70
73 70	73 71
73 71	74 71
73 75	73 76
74 4	75 4
74 5	74 6
74 6	74 7
74 6	75 6
74 25	74 26
74 26	74 27
74 27	74 28
74 68	75 68
74 70	74 71
74 70	75 70
75 4	75 5
75 5	75 6
75 68	75 69
75 69	76 69
75 70	75 71
75 71	76 71
76 69	76 70
76 70	76 71
79 50	79 51
79 50	80 50
79 51	79 52
79 52	80 52
79 83	79 84
79 83	80 83
79 84	80 84
80 50	80 51
80 51	80 52
80 83	80 84
81 124	81 125
81 124	82 124
81 125	82 125
82 123	82 124
82 123	83 123
82 125	83 125
83 97	83 98
83 97	84 97
83 98	84 98
83 123	84 123
83 125	83 126
83 126	84 126
84 97	84 98
84 99	84 100
84 99	85 99
84 100	85 100
84 123	84 124
84 124	85 124
84 126	85 126
85 99	86 99
85 100	86 100
85 124	85 125
85 125	85 126
86 68	86 69
86 68	87 68
86 69	86 70
86 70	87 70
86 99	87 99
86 100	86 101
86 101	86 102
86 102	87 102
87 68	88 68
87 70	88 70
87 99	87 100
87 100	87 101
87 101	87 102
88 43	88 44
88 43	89 43
88 44	89 44
88 68	88 69
88 69	88 70
89 43	90 43
89 44	90 44
89 88	89 89
89 88	90 88
89 89	90 89
90 43	90 44
90 48	90 49
90 48	91 48
90 49	91 49
90 88	90 89
91 48	92 48
91 49	92 49
92 48	92 49
92 49	92 50
92 49	93 49
92 50	93 50
92 89	92 90
92 89	93 89
92 90	93 90
93 0	93 1
93 1	94 1
93 44	93 45
93 44	94 44
93 45	94 45
93 49	93 50
93 89	94 89
93 90	93 91
93 91	93 92
93 92	94 92
93 126	93 127
93 126	94 126
93 127	93 128
94 0	95 0
94 1	95 1
94 41	94 42
94 41	95 41
94 42	95 42
94 44	94 45
94 87	94 88
94 87	95 87
94 88	94 89
94 91	94 92
94 91	95 91
94 126	94 127
94 127	94 128
95 0	95 1
95 41	95 42
95 82	95 83
95 82	96 82
95 83	96 83
95 87	96 87
95 89	95 90
95 89	96 89
95 90	95 91
95 91	95 92
95 91	96 91
95 92	96 92
96 82	96 83
96 84	96 85
96 84	97 84
96 85	97 85
96 87	96 88
96 88	96 89
96 91	96 92
97 4	97 5
97 4	98 4
97 5	98 5
97 69	97 70
97 69	98 69
97 70	97 71
97 71	98 71
97 84	97 85
98 4	99 4
98 5	99 5
98 42	98 43
98 42	99 42
98 43	99 43
98 57	98 58
98 57	99 57
98 58	99 58
98 69	99 69
98 71	98 72
98 72	99 72
98 82	98 83
98 82	99 82
98 83	99 83
98 87	98 88
98 87	99 87
98 88	99 88
98 126	98 127
98 126	99 126
98 127	99 127
99 0	100 0
99 1	99 2
99 1	100 1
99 2	100 2
99 4	100 4
99 5	100 5
99 42	99 43
99 57	99 58
99 68	99 69
99 68	100 68
99 69	99 70
99 69	100 69
99 70	100 70
99 72	100 72
99 82	99 83
99 87	99 88
99 93	99 94
99 93	100 93
99 94	100 94
99 126	99 127
99 127	99 128
99 127	100 127
100 0	100 1
100 0	101 0
100 2	101 2
100 4	101 4
100 5	101 5
100 43	100 44
100 43	101 43
100 44	100 45
100 45	101 45
100 68	101 68
100 69	101 69
100 70	100 71
100 71	100 72
100 93	100 94
100 127	100 128
101 0	101 1
101 1	101 2
101 4	101 5
101 43	101 44
101 44	101 45
101 67	101 68
101 67	102 67
101 69	101 70
101 70	101 71
101 71	102 71
102 4	102 5
102 4	103 4
102 5	103 5
102 50	102 51
102 50	103 50
102 51	103 51
102 60	102 61
102 60	103 60
102 61	102 62
102 62	103 62
102 67	102 68
102 68	102 69
102 69	102 70
102 70	102 71
103 4	103 5
103 50	103 51
103 54	103 55
103 54	104 54
103 55	104 55
103 60	104 60
103 61	103 62
103 61	104 61
104 11	104 12
104 11	105 11
104 12	105 12
104 46	104 47
104 46	105 46
104 47	105 47
104 54	104 55
104 60	104 61
105 11	105 12
105 46	105 47
105 56	105 57
105 56	106 56
105 57	105 58
105 58	106 58
106 56	107 56
106 58	107 58
107 7	107 8
107 7	108 7
107 8	107 9
107 9	108 9
107 56	107 57
107 57	107 58
107 60	107 61
107 60	108 60
107 61	108 61
107 118	107 119
107 118	108 118
107 119	108 119
108 7	108 8
108 8	108 9
108 60	108 61
108 86	108 87
108 86	109 86
108 87	109 87
108 118	108 119
108 124	108 125
108 124	109 124
108 125	109 125
109 86	109 87
109 117	109 118
109 117	110 117
109 118	109 119
109 119	110 119
109 124	109 125
110 0	111 0
110 99	110 100
110 99	111 99
110 100	110 101
110 101	111 101
110 117	111 117
110 118	110 119
110 118	111 118
110 121	110 122
110 121	111 121
110 122	111 122
110 126	110 127
110 126	111 126
110 127	110 128
111 0	112 0
111 74	111 75
111 74	112 74
111 75	112 75
111 99	111 100
111 100	111 101
111 108	111 109
111 108	112 108
111 109	112 109
111 117	111 118
111 121	111 122
111 126	112 126
112 74	112 75
112 100	112 101
112 100	113 100
112 101	113 101
112 108	112 109
112 126	112 127
112 127	112 128
113 92	113 93
113 92	114 92
113 93	114 93
113 100	113 101
114 92	114 93
114 102	114 103
114 102	115 102
114 103	115 103
114 121	114 122
114 121	115 121
114 122	115 122
115 102	115 103
115 121	115 122
115 126	115 127
115 126	116 126
115 127	116 127
116 125	116 126
116 125	117 125
116 126	116 127
116 126	117 126
117 15	117 16
117 15	118 15
117 16	117 17
117 17	117 18
117 18	118 18
117 99	117 100
117 99	118 99
117 100	118 100
117 125	117 126
118 15	119 15
118 17	118 18
118 17	119 17
118 99	119 99
118 100	119 100
119 15	119 16
119 16	120 16
119 17	120 17
119 94	119 95
119 94	120 94
119 95	120 95
119 99	119 100
120 16	120 17
120 52	120 53
120 52	121 52
120 53	120 54
120 54	120 55
120 55	121 55
120 94	121 94
120 95	120 96
120 96	121 96
120 99	120 100
120 99	121 99
120 100	121 100
120 120	120 121
120 120	121 120
120 121	121 121
121 0	122 0
121 52	122 52
121 54	121 55
121 54	122 54
121 57	121 58
121 57	122 57
121 58	122 58
121 94	121 95
121 95	122 95
121 96	122 96
121 99	121 100
121 120	121 121
121 127	121 128
121 127	122 127
122 49	122 50
122 49	123 49
122 50	123 50
122 51	122 52
122 51	123 51
122 54	123 54
122 57	122 58
122 95	122 96
122 127	122 128
123 15	123 16
123 15	124 15
123 16	124 16
123 48	123 49
123 48	124 48
123 50	124 50
123 51	124 51
123 54	124 54
123 62	123 63
123 62	124 62
123 63	124 63
123 81	123 82
123 81	124 81
123 82	124 82
124 11	124 12
124 11	125 11
124 12	125 12
124 13	124 14
124 13	125 13
124 14	125 14
124 15	124 16
124 48	124 49
124 49	124 50
124 51	125 51
124 52	124 53
124 52	125 52
124 53	125 53
124 54	125 54
124 62	125 62
124 63	125 63
124 81	124 82
124 82	124 83
124 82	125 82
124 83	125 83
125 11	125 12
125 13	125 14
125 51	125 52
125 53	126 53
125 54	125 55
125 55	125 56
125 56	125 57
125 57	126 57
125 62	125 63
125 82	125 83
126 19	126 20
126 19	127 19
126 20	127 20
126 22	126 23
126 22	127 22
126 23	127 23
126 48	126 49
126 48	127 48
126 49	127 49
126 53	126 54
126 54	127 54
126 57	127 57
127 19	127 20
127 22	127 23
127 34	127 35
127 34	128 34
127 35	128 35
127 48	127 49
127 51	127 52
127 51	128 51
127 52	127 53
127 53	127 54
127 57	128 57
127 123	127 124
127 123	128 123
127 124	128 124
