size	64
T	2
J	1
H	0
x	y
0	3
0	6
0	7
0	23
0	41
0	57
1	2
1	3
1	6
1	7
1	57
2	7
2	8
2	9
2	10
2	40
3	32
3	36
4	35
4	36
5	36
5	59
6	36
6	37
6	38
6	45
7	32
7	36
7	37
7	38
8	35
8	38
9	48
10	57
11	2
11	3
11	4
11	57
11	62
12	53
12	59
14	45
15	4
15	43
15	44
16	4
16	17
16	39
16	42
16	43
16	44
16	46
17	14
17	31
17	63
18	31
18	58
18	59
20	11
22	6
22	22
23	3
23	6
25	8
26	55
27	62
28	6
28	17
28	36
28	40
29	12
29	13
29	35
29	40
29	45
29	55
30	11
30	12
30	22
30	57
31	10
31	11
31	21
31	22
32	39
32	41
33	39
34	2
34	18
34	27
34	49
35	29
35	34
36	29
36	30
36	56
37	54
38	49
39	29
39	35
39	36
39	37
39	46
40	1
40	19
40	20
40	35
40	36
40	37
41	9
42	8
42	9
42	10
43	10
43	11
43	24
43	35
43	36
43	42
44	53
44	59
45	37
46	18
46	34
47	1
47	2
47	35
50	51
50	55
50	59
52	21
52	41
52	47
54	21
54	62
55	47
56	18
57	18
57	19
57	37
57	39
57	42
58	19
59	61
60	38
60	50
61	11
61	12
61	18
61	19
61	24
61	40
62	6
62	7
62	58
62	59
63	6
63	7
