size	128
T	2.5
J	1
H	0
x	y
0 34	0 35
0 51	0 52
0 52	1 52
0 57	0 58
0 58	1 58
0 123	1 123
0 124	1 124
1 15	1 16
1 15	2 15
1 16	2 16
1 52	1 53
1 53	1 54
1 54	2 54
1 58	2 58
1 123	2 123
1 124	2 124
2 14	2 15
2 14	3 14
2 16	3 16
2 46	2 47
2 46	3 46
2 47	3 47
2 54	2 55
2 55	2 56
2 56	3 56
2 58	3 58
2 62	2 63
2 62	3 62
2 63	3 63
2 120	2 121
2 120	3 120
2 121	3 121
2 123	2 124
3 14	3 15
3 15	3 16
3 46	3 47
3 53	3 54
3 53	4 53
3 54	3 55
3 55	3 56
3 58	4 58
3 62	3 63
3 82	3 83
3 82	4 82
3 83	4 83
3 84	3 85
3 84	4 84
3 85	4 85
3 120	3 121
4 12	4 13
4 12	5 12
4 13	4 14
4 14	5 14
4 20	4 21
4 20	5 20
4 21	5 21
4 53	5 53
4 57	4 58
4 57	5 57
4 82	4 83
4 84	4 85
5 12	5 13
5 13	6 13
5 14	6 14
5 18	5 19
5 18	6 18
5 19	5 20
5 21	6 21
5 53	6 53
5 57	6 57
5 118	5 119
5 118	6 118
5 119	6 119
6 11	6 12
6 11	7 11
6 12	7 12
6 13	6 14
6 18	7 18
6 19	6 20
6 19	7 19
6 20	6 21
6 52	6 53
6 52	7 52
6 54	6 55
6 54	7 54
6 55	6 56
6 56	6 57
6 117	6 118
6 117	7 117
6 119	7 119
7 0	7 1
7 0	8 0
7 1	8 1
7 11	8 11
7 12	7 13
7 13	8 13
7 15	7 16
7 15	8 15
7 16	8 16
7 17	7 18
7 17	8 17
7 18	7 19
7 18	8 18
7 52	8 52
7 54	8 54
7 58	7 59
7 58	8 58
7 59	8 59
7 79	7 80
7 79	8 79
7 80	8 80
7 111	7 112
7 111	8 111
7 112	7 113
7 113	8 113
7 117	7 118
7 118	7 119
8 0	8 1
8 11	8 12
8 12	8 13
8 15	8 16
8 17	9 17
8 18	8 19
8 19	9 19
8 52	9 52
8 54	8 55
8 55	9 55
8 58	8 59
8 79	9 79
8 80	9 80
8 111	9 111
8 113	9 113
9 13	9 14
9 13	10 13
9 14	9 15
9 15	10 15
9 17	9 18
9 18	9 19
9 52	10 52
9 55	9 56
9 56	10 56
9 79	9 80
9 111	9 112
9 112	9 113
10 13	11 13
10 14	10 15
10 14	11 14
10 44	10 45
10 44	11 44
10 45	11 45
10 52	10 53
10 53	10 54
10 54	10 55
10 55	10 56
10 60	10 61
10 60	11 60
10 61	11 61
10 63	10 64
10 63	11 63
10 64	11 64
10 67	10 68
10 67	11 67
10 68	11 68
10 70	10 71
10 70	11 70
10 71	11 71
10 75	10 76
10 75	11 75
10 76	10 77
10 77	11 77
11 13	11 14
11 44	11 45
11 59	11 60
11 59	12 59
11 60	11 61
11 60	12 60
11 63	12 63
11 64	12 64
11 67	12 67
11 68	12 68
11 70	11 71
11 75	11 76
11 76	11 77
12 0	12 1
12 0	13 0
12 1	13 1
12 29	12 30
12 29	13 29
12 30	13 30
12 59	12 60
12 63	13 63
12 64	13 64
12 66	12 67
12 66	13 66
12 68	13 68
12 77	12 78
12 77	13 77
12 78	13 78
13 1	14 1
13 25	13 26
13 25	14 25
13 26	13 27
13 27	14 27
13 29	14 29
13 30	14 30
13 63	13 64
13 66	14 66
13 68	13 69
13 69	14 69
13 72	13 73
13 72	14 72
13 73	13 74
13 74	13 75
13 75	14 75
13 77	13 78
13 127	13 128
13 127	14 127
14 0	14 1
14 25	14 26
14 26	14 27
14 29	14 30
14 66	14 67
14 67	14 68
14 68	14 69
14 72	14 73
14 73	14 74
14 74	14 75
14 127	14 128
15 39	15 40
15 39	16 39
15 40	16 40
15 104	15 105
15 104	16 104
15 105	16 105
15 110	15 111
15 110	16 110
15 111	15 112
15 112	16 112
16 19	16 20
16 19	17 19
16 20	17 20
16 39	16 40
16 41	16 42
16 41	17 41
16 42	17 42
16 83	16 84
16 83	17 83
16 84	17 84
16 104	16 105
16 110	16 111
16 111	17 111
16 112	17 112
17 19	17 20
17 41	17 42
17 83	18 83
17 84	17 85
17 85	18 85
17 111	17 112
17 113	17 114
17 113	18 113
17 114	17 115
17 115	17 116
17 116	18 116
18 66	18 67
18 66	19 66
18 67	19 67
18 83	19 83
18 84	18 85
18 84	19 84
18 91	18 92
18 91	19 91
18 92	19 92
18 113	19 113
18 116	19 116
19 13	19 14
19 13	20 13
19 14	20 14
19 66	19 67
19 71	19 72
19 71	20 71
19 72	20 72
19 83	19 84
19 91	19 92
19 95	19 96
19 95	20 95
19 96	20 96
19 113	20 113
19 115	19 116
19 115	20 115
19 124	19 125
19 124	20 124
19 125	20 125
20 13	20 14
20 71	20 72
20 95	20 96
20 106	20 107
20 106	21 106
20 107	21 107
20 113	20 114
20 114	21 114
20 115	21 115
20 124	20 125
21 14	21 15
21 14	22 14
21 15	22 15
21 106	21 107
21 114	22 114
21 115	22 115
22 14	22 15
22 63	22 64
22 63	23 63
22 64	22 65
22 65	22 66
22 66	22 67
22 67	23 67
22 81	22 82
22 81	23 81
22 82	23 82
22 90	22 91
22 90	23 90
22 91	23 91
22 114	22 115
23 63	24 63
23 65	23 66
23 65	24 65
23 66	24 66
23 67	24 67
23 81	23 82
23 90	24 90
23 91	24 91
24 63	24 64
24 64	24 65
24 66	24 67
24 90	24 91
25 57	25 58
25 57	26 57
25 58	26 58
25 66	25 67
25 66	26 66
25 67	26 67
26 57	26 58
26 66	27 66
26 67	27 67
26 71	26 72
26 71	27 71
26 72	27 72
26 91	26 92
26 91	27 91
26 92	27 92
26 104	26 105
26 104	27 104
26 105	27 105
26 125	26 126
26 125	27 125
26 126	27 126
27 30	27 31
27 30	28 30
27 31	28 31
27 43	27 44
27 43	28 43
27 44	27 45
27 45	28 45
27 66	27 67
27 70	27 71
27 70	28 70
27 71	27 72
27 71	28 71
27 91	27 92
27 104	27 105
27 125	28 125
27 126	28 126
28 30	28 31
28 43	28 44
28 44	28 45
28 57	28 58
28 57	29 57
28 58	29 58
28 70	29 70
28 71	29 71
28 103	28 104
28 103	29 103
28 104	29 104
28 112	28 113
28 112	29 112
28 113	28 114
28 114	29 114
28 125	28 126
29 31	29 32
29 31	30 31
29 32	30 32
29 57	29 58
29 70	29 71
29 103	30 103
29 104	30 104
29 112	29 113
29 113	29 114
29 124	29 125
29 124	30 124
29 125	30 125
30 29	30 30
30 29	31 29
30 30	30 31
30 31	30 32
30 31	31 31
30 62	30 63
30 62	31 62
30 63	31 63
30 103	30 104
30 104	30 105
30 104	31 104
30 105	31 105
30 115	30 116
30 115	31 115
30 116	31 116
30 124	31 124
30 125	31 125
31 15	31 16
31 15	32 15
31 16	32 16
31 28	31 29
31 28	32 28
31 31	31 32
31 32	32 32
31 58	31 59
31 58	32 58
31 59	32 59
31 62	31 63
31 65	31 66
31 65	32 65
31 66	32 66
31 104	31 105
31 115	32 115
31 116	32 116
31 124	31 125
32 15	32 16
32 28	33 28
32 32	33 32
32 58	33 58
32 59	33 59
32 65	32 66
32 115	32 116
33 2	33 3
33 2	34 2
33 3	34 3
33 28	34 28
33 32	34 32
33 51	33 52
33 51	34 51
33 52	34 52
33 58	34 58
33 59	34 59
34 2	34 3
34 28	34 29
34 29	35 29
34 32	34 33
34 33	35 33
34 51	34 52
34 58	34 59
34 70	34 71
34 70	35 70
34 71	35 71
35 29	35 30
35 30	35 31
35 31	35 32
35 32	35 33
35 70	35 71
35 104	35 105
35 104	36 104
35 105	36 105
36 104	36 105
37 53	37 54
37 53	38 53
37 54	38 54
37 77	37 78
37 77	38 77
37 78	38 78
38 53	38 54
38 77	38 78
39 54	39 55
39 54	40 54
39 55	40 55
40 54	41 54
40 55	41 55
41 54	41 55
41 95	41 96
41 95	42 95
41 96	41 97
41 97	42 97
42 34	42 35
42 34	43 34
42 35	43 35
42 55	42 56
42 55	43 55
42 56	42 57
42 57	42 58
42 58	42 59
42 59	43 59
42 83	42 84
42 83	43 83
42 84	43 84
42 89	42 90
42 89	43 89
42 90	43 90
42 91	42 92
42 91	43 91
42 92	43 92
42 93	42 94
42 93	43 93
42 94	42 95
42 95	42 96
42 95	43 95
42 96	43 96
42 97	43 97
43 34	43 35
43 38	43 39
43 38	44 38
43 39	44 39
43 48	43 49
43 48	44 48
43 49	44 49
43 55	43 56
43 56	44 56
43 57	43 58
43 57	44 57
43 58	44 58
43 59	44 59
43 74	43 75
43 74	44 74
43 75	44 75
43 83	43 84
43 89	44 89
43 90	43 91
43 92	43 93
43 95	43 96
43 97	44 97
44 4	44 5
44 4	45 4
44 5	45 5
44 38	44 39
44 48	44 49
44 56	44 57
44 58	44 59
44 71	44 72
44 71	45 71
44 72	45 72
44 74	45 74
44 75	45 75
44 89	45 89
44 90	44 91
44 90	45 90
44 91	45 91
44 97	45 97
45 4	45 5
45 62	45 63
45 62	46 62
45 63	46 63
45 71	46 71
45 72	45 73
45 73	46 73
45 74	45 75
45 89	45 90
45 91	46 91
45 96	45 97
45 96	46 96
46 62	46 63
46 71	47 71
46 73	47 73
46 91	47 91
46 95	46 96
46 95	47 95
47 71	47 72
47 72	47 73
47 91	48 91
47 94	47 95
47 94	48 94
47 99	47 100
47 99	48 99
47 100	48 100
47 106	47 107
47 106	48 106
47 107	48 107
48 91	49 91
48 94	49 94
48 99	48 100
48 106	48 107
49 41	49 42
49 41	50 41
49 42	50 42
49 72	49 73
49 72	50 72
49 73	49 74
49 74	50 74
49 91	49 92
49 92	50 92
49 93	49 94
49 93	50 93
50 28	50 29
50 28	51 28
50 29	51 29
50 35	50 36
50 35	51 35
50 36	51 36
50 41	50 42
50 72	50 73
50 73	50 74
50 92	50 93
50 98	50 99
50 98	51 98
50 99	51 99
50 104	50 105
50 104	51 104
50 105	51 105
51 28	51 29
51 35	51 36
51 36	51 37
51 36	52 36
51 37	51 38
51 38	52 38
51 89	51 90
51 89	52 89
51 90	52 90
51 96	51 97
51 96	52 96
51 97	52 97
51 98	52 98
51 99	52 99
51 101	51 102
51 101	52 101
51 102	51 103
51 103	51 104
51 105	51 106
51 106	51 107
51 107	52 107
52 36	52 37
52 37	52 38
52 46	52 47
52 46	53 46
52 47	53 47
52 54	52 55
52 54	53 54
52 55	53 55
52 89	52 90
52 96	52 97
52 98	53 98
52 99	53 99
52 101	52 102
52 102	53 102
52 107	52 108
52 108	52 109
52 109	52 110
52 110	53 110
53 27	53 28
53 27	54 27
53 28	54 28
53 46	54 46
53 47	54 47
53 54	53 55
53 98	54 98
53 99	54 99
53 102	54 102
53 109	53 110
53 109	54 109
53 111	53 112
53 111	54 111
53 112	53 113
53 113	54 113
54 21	54 22
54 21	55 21
54 22	54 23
54 23	55 23
54 27	54 28
54 31	54 32
54 31	55 31
54 32	55 32
54 46	54 47
54 52	54 53
54 52	55 52
54 53	55 53
54 60	54 61
54 60	55 60
54 61	55 61
54 93	54 94
54 93	55 93
54 94	55 94
54 98	55 98
54 99	55 99
54 100	54 101
54 100	55 100
54 101	55 101
54 102	55 102
54 109	55 109
54 110	54 111
54 110	55 110
54 112	54 113
54 112	55 112
55 20	55 21
55 20	56 20
55 23	56 23
55 31	56 31
55 32	56 32
55 52	55 53
55 60	55 61
55 84	55 85
55 84	56 84
55 85	55 86
55 86	56 86
55 93	55 94
55 98	56 98
55 99	55 100
55 101	55 102
55 102	55 103
55 102	56 102
55 103	56 103
55 109	56 109
55 110	56 110
55 112	56 112
56 20	56 21
56 21	57 21
56 23	57 23
56 31	56 32
56 34	56 35
56 34	57 34
56 35	56 36
56 36	57 36
56 84	57 84
56 85	56 86
56 85	57 85
56 98	57 98
56 102	56 103
56 109	56 110
56 112	57 112
57 21	58 21
57 23	58 23
57 32	57 33
57 32	58 32
57 33	58 33
57 34	57 35
57 35	57 36
57 84	57 85
57 98	58 98
57 109	57 110
57 109	58 109
57 110	57 111
57 111	57 112
58 21	58 22
58 22	59 22
58 23	59 23
58 32	58 33
58 92	58 93
58 92	59 92
58 93	59 93
58 98	59 98
58 109	59 109
59 4	59 5
59 4	60 4
59 5	60 5
59 19	59 20
59 19	60 19
59 20	60 20
59 22	60 22
59 23	59 24
59 24	60 24
59 32	59 33
59 32	60 32
59 33	59 34
59 34	60 34
59 49	59 50
59 49	60 49
59 50	60 50
59 52	59 53
59 52	60 52
59 53	60 53
59 92	60 92
59 93	60 93
59 94	59 95
59 94	60 94
59 95	60 95
59 98	60 98
59 107	59 108
59 107	60 107
59 108	59 109
60 4	60 5
60 19	60 20
60 20	60 21
60 20	61 20
60 21	61 21
60 22	61 22
60 23	60 24
60 23	61 23
60 32	60 33
60 33	60 34
60 49	60 50
60 52	60 53
60 91	60 92
60 91	61 91
60 93	61 93
60 94	61 94
60 95	61 95
60 96	60 97
60 96	61 96
60 97	60 98
60 107	61 107
61 19	61 20
61 19	62 19
61 21	61 22
61 22	61 23
61 22	62 22
61 28	61 29
61 28	62 28
61 29	61 30
61 30	62 30
61 50	61 51
61 50	62 50
61 51	62 51
61 91	61 92
61 92	61 93
61 93	61 94
61 93	62 93
61 95	61 96
61 103	61 104
61 103	62 103
61 104	61 105
61 105	61 106
61 106	62 106
61 107	62 107
61 110	61 111
61 110	62 110
61 111	62 111
62 12	62 13
62 12	63 12
62 13	63 13
62 19	62 20
62 20	63 20
62 22	63 22
62 27	62 28
62 27	63 27
62 28	62 29
62 28	63 28
62 29	63 29
62 30	63 30
62 50	62 51
62 89	62 90
62 89	63 89
62 90	63 90
62 93	63 93
62 103	63 103
62 106	62 107
62 110	62 111
63 12	63 13
63 20	64 20
63 22	63 23
63 23	64 23
63 27	64 27
63 28	64 28
63 29	64 29
63 30	63 31
63 31	64 31
63 89	64 89
63 90	64 90
63 93	63 94
63 94	63 95
63 95	63 96
63 96	63 97
63 97	63 98
63 98	64 98
63 100	63 101
63 100	64 100
63 101	63 102
63 102	63 103
64 20	64 21
64 21	64 22
64 22	64 23
64 27	64 28
64 29	65 29
64 31	65 31
64 84	64 85
64 84	65 84
64 85	64 86
64 86	64 87
64 87	65 87
64 89	64 90
64 98	65 98
64 100	65 100
65 27	65 28
65 27	66 27
65 28	65 29
65 31	66 31
65 84	65 85
65 85	66 85
65 86	65 87
65 86	66 86
65 98	65 99
65 99	65 100
65 120	65 121
65 120	66 120
65 121	66 121
66 26	66 27
66 26	67 26
66 31	67 31
66 41	66 42
66 41	67 41
66 42	67 42
66 46	66 47
66 46	67 46
66 47	67 47
66 85	66 86
66 96	66 97
66 96	67 96
66 97	67 97
66 101	66 102
66 101	67 101
66 102	66 103
66 103	66 104
66 104	66 105
66 105	66 106
66 106	67 106
66 120	66 121
67 26	67 27
67 27	68 27
67 31	67 32
67 32	68 32
67 41	67 42
67 46	67 47
67 96	67 97
67 101	67 102
67 102	68 102
67 103	67 104
67 103	68 103
67 104	67 105
67 105	68 105
67 106	68 106
68 27	68 28
68 28	69 28
68 29	68 30
68 29	69 29
68 30	68 31
68 31	68 32
68 78	68 79
68 78	69 78
68 79	69 79
68 98	68 99
68 98	69 98
68 99	68 100
68 100	69 100
68 102	68 103
68 105	69 105
68 106	69 106
68 115	68 116
68 115	69 115
68 116	69 116
68 125	68 126
68 125	69 125
68 126	69 126
69 28	69 29
69 78	70 78
69 79	69 80
69 80	70 80
69 98	69 99
69 99	70 99
69 100	69 101
69 101	69 102
69 102	70 102
69 105	69 106
69 115	69 116
69 125	69 126
70 78	70 79
70 79	71 79
70 80	70 81
70 81	71 81
70 99	70 100
70 100	70 101
70 101	70 102
70 116	70 117
70 116	71 116
70 117	70 118
70 118	71 118
71 1	71 2
71 1	72 1
71 2	72 2
71 23	71 24
71 23	72 23
71 24	72 24
71 25	71 26
71 25	72 25
71 26	72 26
71 79	71 80
71 80	71 81
71 115	71 116
71 115	72 115
71 118	71 119
71 119	72 119
72 0	72 1
72 0	73 0
72 1	72 2
72 1	73 1
72 4	72 5
72 4	73 4
72 5	73 5
72 23	72 24
72 25	72 26
72 26	72 27
72 26	73 26
72 27	72 28
72 28	73 28
72 75	72 76
72 75	73 75
72 76	73 76
72 115	72 116
72 116	72 117
72 117	73 117
72 118	72 119
72 118	73 118
73 0	73 1
73 4	74 4
73 5	74 5
73 6	73 7
73 6	74 6
73 7	74 7
73 26	74 26
73 28	74 28
73 68	73 69
73 68	74 68
73 69	73 70
73 70	73 71
73 71	74 71
73 75	73 76
73 93	73 94
73 93	74 93
73 94	74 94
73 107	73 108
73 107	74 107
73 108	74 108
73 117	73 118
74 4	75 4
74 5	74 6
74 6	74 7
74 6	75 6
74 26	74 27
74 27	74 28
74 68	75 68
74 70	74 71
74 70	75 70
74 93	74 94
74 107	74 108
75 4	75 5
75 5	75 6
75 68	75 69
75 69	76 69
75 70	75 71
75 71	76 71
76 69	76 70
76 70	76 71
78 31	78 32
78 31	79 31
78 32	79 32
79 30	79 31
79 30	80 30
79 31	79 32
79 31	80 31
79 50	79 51
79 50	80 50
79 51	79 52
79 52	80 52
79 83	79 84
79 83	80 83
79 84	80 84
80 30	80 31
80 50	80 51
80 51	80 52
80 83	80 84
81 6	81 7
81 6	82 6
81 7	82 7
81 124	81 125
81 124	82 124
81 125	82 125
82 6	82 7
82 123	82 124
82 123	83 123
82 125	83 125
83 97	83 98
83 97	84 97
83 98	84 98
83 123	84 123
83 125	83 126
83 126	84 126
84 97	84 98
84 99	84 100
84 99	85 99
84 100	85 100
84 123	84 124
84 124	85 124
84 126	85 126
85 99	86 99
85 100	86 100
85 124	85 125
85 125	85 126
86 68	86 69
86 68	87 68
86 69	86 70
86 70	87 70
86 99	87 99
86 100	86 101
86 101	86 102
86 102	87 102
87 68	88 68
87 70	88 70
87 99	87 100
87 100	87 101
87 101	87 102
88 43	88 44
88 43	89 43
88 44	89 44
88 68	88 69
88 69	88 70
88 86	88 87
88 86	89 86
88 87	89 87
89 43	90 43
89 44	90 44
89 86	89 87
89 88	89 89
89 88	90 88
89 89	90 89
90 43	90 44
90 48	90 49
90 48	91 48
90 49	91 49
90 88	90 89
91 48	92 48
91 49	92 49
92 48	92 49
92 49	92 50
92 49	93 49
92 50	93 50
92 89	92 90
92 89	93 89
92 90	93 90
93 0	93 1
93 1	94 1
93 44	93 45
93 44	94 44
93 45	94 45
93 49	93 50
93 89	94 89
93 90	93 91
93 91	93 92
93 92	94 92
93 126	93 127
93 126	94 126
93 127	93 128
94 0	95 0
94 1	95 1
94 41	94 42
94 41	95 41
94 42	95 42
94 44	94 45
94 87	94 88
94 87	95 87
94 88	94 89
94 91	94 92
94 91	95 91
94 126	94 127
94 127	94 128
95 0	95 1
95 41	95 42
95 82	95 83
95 82	96 82
95 83	96 83
95 87	96 87
95 89	95 90
95 89	96 89
95 90	95 91
95 91	95 92
95 91	96 91
95 92	96 92
96 16	96 17
96 16	97 16
96 17	97 17
96 82	96 83
96 84	96 85
96 84	97 84
96 85	97 85
96 87	96 88
96 88	96 89
96 91	96 92
97 5	97 6
97 5	98 5
97 6	97 7
97 7	98 7
97 16	98 16
97 17	98 17
97 69	97 70
97 69	98 69
97 70	97 71
97 71	98 71
97 84	97 85
98 0	99 0
98 5	99 5
98 7	99 7
98 16	98 17
98 42	98 43
98 42	99 42
98 43	99 43
98 57	98 58
98 57	99 57
98 58	99 58
98 69	99 69
98 71	98 72
98 72	99 72
98 82	98 83
98 82	99 82
98 83	99 83
98 87	98 88
98 87	99 87
98 88	99 88
98 127	98 128
98 127	99 127
99 5	100 5
99 7	100 7
99 42	99 43
