size	128
T	5
J	1
H	0
step-init_step	E	m
26500	-6076	0.492432
26600	-6068	0.491821
26700	-6032	0.490112
26800	-6044	0.48877
26900	-6034	0.487183
27000	-6020	0.484253
27100	-6006	0.482056
27200	-5992	0.481323
27300	-5996	0.480347
27400	-5990	0.479736
27500	-5976	0.478027
27600	-5942	0.477051
27700	-5928	0.476074
27800	-5874	0.473389
27900	-5852	0.471313
28000	-5830	0.469727
28100	-5818	0.467896
28200	-5792	0.466187
28300	-5740	0.461914
28400	-5722	0.460449
28500	-5712	0.459473
28600	-5700	0.456055
28700	-5690	0.455322
28800	-5680	0.453613
28900	-5662	0.451782
29000	-5644	0.450195
29100	-5610	0.447998
29200	-5594	0.446411
29300	-5592	0.445435
29400	-5566	0.443237
29500	-5560	0.442627
29600	-5568	0.442749
29700	-5548	0.441406
29800	-5532	0.440552
29900	-5526	0.438965
30000	-5506	0.43811
30100	-5474	0.436157
30200	-5460	0.435059
30300	-5470	0.433472
30400	-5476	0.433716
30500	-5454	0.432129
30600	-5458	0.431396
30700	-5458	0.430908
30800	-5442	0.429688
30900	-5446	0.429932
31000	-5424	0.428345
31100	-5414	0.426392
31200	-5410	0.425049
31300	-5404	0.425171
31400	-5384	0.42395
31500	-5368	0.422607
31600	-5352	0.420532
31700	-5362	0.421143
31800	-5354	0.420776
31900	-5342	0.42041
32000	-5332	0.419556
32100	-5348	0.419922
32200	-5358	0.418945
32300	-5366	0.4198
32400	-5362	0.4198
32500	-5326	0.417969
32600	-5310	0.416992
32700	-5304	0.416382
32800	-5310	0.416016
32900	-5288	0.414795
33000	-5268	0.413452
33100	-5262	0.412354
33200	-5244	0.412476
33300	-5256	0.412231
33400	-5252	0.412231
33500	-5246	0.410522
33600	-5216	0.407715
33700	-5202	0.40686
33800	-5194	0.40686
33900	-5182	0.405273
34000	-5178	0.402222
34100	-5190	0.399902
34200	-5174	0.400269
34300	-5174	0.398682
34400	-5148	0.397949
34500	-5132	0.396606
34600	-5140	0.395386
34700	-5124	0.393433
34800	-5136	0.393433
34900	-5118	0.390869
35000	-5118	0.390381
35100	-5088	0.388306
35200	-5092	0.387695
35300	-5094	0.386475
35400	-5110	0.386963
35500	-5100	0.386108
35600	-5106	0.385498
35700	-5088	0.384399
35800	-5082	0.384155
35900	-5080	0.383545
36000	-5052	0.380493
36100	-5058	0.379883
36200	-5052	0.37915
36300	-5060	0.380615
36400	-5058	0.378418
36500	-5032	0.376343
36600	-4984	0.374023
36700	-4954	0.372559
36800	-4950	0.37146
36900	-4944	0.370483
37000	-4948	0.369873
37100	-4954	0.367798
37200	-4968	0.366577
37300	-4984	0.367676
37400	-4974	0.367065
37500	-4958	0.36499
37600	-4942	0.36438
37700	-4938	0.364136
37800	-4934	0.362427
37900	-4906	0.36084
38000	-4898	0.360474
38100	-4894	0.359009
38200	-4906	0.359009
38300	-4908	0.358765
38400	-4886	0.356812
38500	-4852	0.355103
38600	-4842	0.354126
38700	-4846	0.353882
38800	-4838	0.353394
38900	-4838	0.352173
39000	-4856	0.352539
39100	-4856	0.352661
39200	-4830	0.350342
39300	-4816	0.349731
39400	-4818	0.3479
39500	-4794	0.34729
39600	-4774	0.345337
39700	-4774	0.344727
39800	-4756	0.343018
39900	-4734	0.341431
40000	-4748	0.341675
40100	-4730	0.342285
40200	-4714	0.341187
40300	-4704	0.34021
40400	-4690	0.338501
40500	-4664	0.337891
40600	-4660	0.336426
40700	-4634	0.334473
40800	-4638	0.332642
40900	-4606	0.331055
41000	-4556	0.32959
41100	-4544	0.328003
41200	-4532	0.32666
41300	-4522	0.326294
41400	-4512	0.32605
41500	-4520	0.324585
41600	-4516	0.32312
41700	-4514	0.32373
41800	-4508	0.322754
41900	-4506	0.32251
42000	-4510	0.322388
42100	-4504	0.320435
42200	-4492	0.31897
42300	-4490	0.316772
42400	-4482	0.314697
42500	-4452	0.314209
42600	-4456	0.313232
42700	-4452	0.313477
42800	-4420	0.312134
42900	-4434	0.311157
43000	-4436	0.311157
43100	-4476	0.311768
43200	-4496	0.310791
43300	-4494	0.309204
43400	-4530	0.308472
43500	-4532	0.308472
43600	-4540	0.308228
43700	-4542	0.306885
43800	-4536	0.306396
43900	-4534	0.308105
44000	-4548	0.308594
44100	-4550	0.307373
44200	-4544	0.306763
44300	-4532	0.305542
44400	-4538	0.304199
44500	-4524	0.303955
44600	-4518	0.304688
44700	-4512	0.303467
44800	-4498	0.301514
44900	-4506	0.300537
45000	-4516	0.301147
45100	-4492	0.299805
45200	-4504	0.299927
45300	-4496	0.299927
45400	-4500	0.299438
45500	-4494	0.297241
45600	-4484	0.296753
45700	-4488	0.296265
45800	-4476	0.296631
45900	-4474	0.295898
46000	-4472	0.29541
46100	-4438	0.293335
46200	-4430	0.29126
46300	-4436	0.291626
46400	-4440	0.292114
46500	-4422	0.291992
46600	-4426	0.291504
46700	-4404	0.290161
46800	-4376	0.289185
46900	-4358	0.289185
47000	-4352	0.288208
47100	-4338	0.287354
47200	-4324	0.285522
47300	-4326	0.284912
47400	-4336	0.285522
47500	-4338	0.284912
47600	-4346	0.28418
47700	-4348	0.282959
47800	-4342	0.282837
47900	-4354	0.281006
48000	-4340	0.279175
48100	-4364	0.278809
48200	-4358	0.279785
48300	-4354	0.279053
48400	-4328	0.27832
48500	-4304	0.278687
