size	64
J	1
T	H	E	C	m
3.9	0.2	-0.357441	2.4398e-05	0.223135
3.9	0.4	-0.53352	3.72467e-05	0.398896
3.9	0.6	-0.770704	5.72079e-05	0.536917
3.9	0.8	-1.03506	6.73696e-05	0.639135
3.9	1	-1.29369	7.41359e-05	0.707814
3.9	1.2	-1.53263	8.21017e-05	0.751212
3.9	1.4	-1.78974	8.50063e-05	0.793641
3.9	1.6	-2.04408	7.97674e-05	0.82698
3.9	1.8	-2.28851	7.93231e-05	0.852243
3.9	2	-2.5242	7.38567e-05	0.871314
3.9	2.2	-2.76081	6.22077e-05	0.888362
3.9	2.4	-2.99492	5.70396e-05	0.902673
3.9	2.6	-3.21869	5.62505e-05	0.913125
3.9	2.8	-3.45588	5.96603e-05	0.92541
3.9	3	-3.6826	5.00363e-05	0.934363
3.9	3.2	-3.90745	5.04983e-05	0.942066
3.9	3.4	-4.12446	5.68584e-05	0.947635
3.9	3.6	-4.34532	5.06943e-05	0.953479
3.9	3.8	-4.56228	5.1502e-05	0.958232
3.9	4	-4.78328	4.82295e-05	0.963293
3.9	4.2	-4.99711	5.48266e-05	0.96682
3.9	4.4	-5.21831	3.75896e-05	0.971262
3.9	4.6	-5.43196	3.67698e-05	0.974273
3.9	4.8	-5.64377	3.541e-05	0.976813
4	-5	-5.82862	0.00032919	-0.97526
4	-4.8	-5.61842	4.45107e-05	-0.973034
4	-4.6	-5.40894	3.72823e-05	-0.97071
4	-4.4	-5.19119	4.53632e-05	-0.96694
4	-4.2	-4.97096	4.53289e-05	-0.962481
4	-4	-4.75924	4.78246e-05	-0.959153
4	-3.8	-4.53676	4.7333e-05	-0.953695
4	-3.6	-4.31693	4.275e-05	-0.948238
4	-3.4	-4.10319	5.09046e-05	-0.943584
4	-3.2	-3.86688	6.54258e-05	-0.933861
4	-3	-3.65095	7.12679e-05	-0.927618
4	-2.8	-3.41839	7.15596e-05	-0.917042
4	-2.6	-3.18165	6.19188e-05	-0.904293
4	-2.4	-2.95558	6.71934e-05	-0.892819
4	-2.2	-2.72172	7.29776e-05	-0.877944
4	-2	-2.48562	6.79523e-05	-0.860317
4	-1.8	-2.24048	7.34198e-05	-0.837392
4	-1.6	-1.99356	6.93637e-05	-0.809959
4	-1.4	-1.74814	7.1006e-05	-0.77805
4	-1.2	-1.4826	7.45291e-05	-0.729809
4	-1	-1.24314	6.89042e-05	-0.683757
4	-0.8	-0.987955	7.28144e-05	-0.612186
4	-0.6	-0.739836	5.47424e-05	-0.515577
4	-0.4	-0.502219	3.32458e-05	-0.371125
4	-0.2	-0.34274	2.58818e-05	-0.209915
4	2.16493e-15	-0.278185	9.28405e-06	-0.00171777
4	0.2	-0.340473	2.29798e-05	0.205393
4	0.4	-0.514293	5.17324e-05	0.384482
4	0.6	-0.733353	4.60674e-05	0.510292
4	0.8	-0.984728	7.03962e-05	0.610045
4	1	-1.23394	5.50727e-05	0.678831
4	1.2	-1.49258	8.3125e-05	0.734976
4	1.4	-1.74433	5.7512e-05	0.776804
4	1.6	-1.99316	7.20164e-05	0.809707
4	1.8	-2.24393	7.21771e-05	0.838511
4	2	-2.49297	7.01514e-05	0.862539
4	2.2	-2.71771	8.03311e-05	0.876806
4	2.4	-2.95417	7.00698e-05	0.892527
4	2.6	-3.18611	6.3837e-05	0.905371
4	2.8	-3.42273	6.39067e-05	0.918043
4	3	-3.64551	5.57614e-05	0.926507
4	3.2	-3.86729	5.46601e-05	0.933977
4	3.4	-4.09196	5.30856e-05	0.941395
4	3.6	-4.31952	5.58142e-05	0.948709
4	3.8	-4.53524	4.44805e-05	0.953393
4	4	-4.75845	4.74049e-05	0.959009
4	4.2	-4.97346	4.34989e-05	0.962887
4	4.4	-5.19237	4.13867e-05	0.967127
4	4.6	-5.41028	3.89125e-05	0.970915
4	4.8	-5.62417	3.71411e-05	0.973881
4.1	-5	-5.80811	0.000302669	-0.97231
4.1	-4.8	-5.59973	3.56785e-05	-0.970221
4.1	-4.6	-5.38495	4.33857e-05	-0.967002
4.1	-4.4	-5.16768	3.92939e-05	-0.96315
4.1	-4.2	-4.95666	4.39812e-05	-0.960109
4.1	-4	-4.73023	4.84131e-05	-0.954165
4.1	-3.8	-4.5125	4.63949e-05	-0.949319
4.1	-3.6	-4.28941	5.41822e-05	-0.943064
4.1	-3.4	-4.06437	6.15116e-05	-0.936021
4.1	-3.2	-3.8404	6.72557e-05	-0.928482
4.1	-3	-3.61507	6.74957e-05	-0.920056
4.1	-2.8	-3.38571	6.48698e-05	-0.909663
4.1	-2.6	-3.14981	6.28695e-05	-0.896836
4.1	-2.4	-2.90729	7.76125e-05	-0.880691
4.1	-2.2	-2.68073	7.10066e-05	-0.866877
4.1	-2	-2.441	6.88923e-05	-0.847435
4.1	-1.8	-2.19487	7.49673e-05	-0.823195
4.1	-1.6	-1.95286	6.57685e-05	-0.796193
4.1	-1.4	-1.69968	8.76152e-05	-0.75963
4.1	-1.2	-1.44928	7.42697e-05	-0.716504
4.1	-1	-1.20276	7.02615e-05	-0.663659
4.1	-0.8	-0.941395	6.50503e-05	-0.584918
4.1	-0.6	-0.698169	6.31213e-05	-0.486963
4.1	-0.4	-0.482409	3.17387e-05	-0.35356
4.1	-0.2	-0.32905	1.98652e-05	-0.194917
4.1	2.16493e-15	-0.270833	9.14725e-06	0.0071792
4.1	0.2	-0.327687	1.87818e-05	0.19119
4.1	0.4	-0.486945	3.58973e-05	0.359186
4.1	0.6	-0.703904	5.30821e-05	0.490176
4.1	0.8	-0.943512	6.66929e-05	0.587053
4.1	1	-1.19267	6.38721e-05	0.658528
4.1	1.2	-1.44537	6.98533e-05	0.715025
4.1	1.4	-1.69817	6.75147e-05	0.759322
4.1	1.6	-1.94912	8.64785e-05	0.794532
4.1	1.8	-2.2061	6.44685e-05	0.826577
4.1	2	-2.43356	6.80445e-05	0.845205
4.1	2.2	-2.68183	6.96574e-05	0.867238
4.1	2.4	-2.91455	6.30316e-05	0.882576
4.1	2.6	-3.15831	6.22986e-05	0.898816
4.1	2.8	-3.38294	7.51607e-05	0.909048
4.1	3	-3.61423	6.81282e-05	0.919805
4.1	3.2	-3.83671	4.43853e-05	0.927747
4.1	3.4	-4.06531	5.07408e-05	0.936193
4.1	3.6	-4.28995	5.64813e-05	0.943276
4.1	3.8	-4.51099	5.5199e-05	0.949075
4.1	4	-4.73089	5.09357e-05	0.954297
4.1	4.2	-4.95375	4.84e-05	0.959623
4.1	4.4	-5.16782	4.05666e-05	0.963174
4.1	4.6	-5.38363	3.94088e-05	0.966797
4.1	4.8	-5.59994	4.34068e-05	0.97026
4.2	-5	-5.78732	0.000357161	-0.969261
4.2	-4.8	-5.5795	4.60967e-05	-0.967183
4.2	-4.6	-5.36564	4.34104e-05	-0.964024
4.2	-4.4	-5.14659	5.16297e-05	-0.95981
4.2	-4.2	-4.92222	4.82654e-05	-0.954356
4.2	-4	-4.70287	5.26778e-05	-0.949458
4.2	-3.8	-4.48346	5.14061e-05	-0.944143
4.2	-3.6	-4.25843	5.65705e-05	-0.93733
4.2	-3.4	-4.03526	5.96767e-05	-0.930369
4.2	-3.2	-3.80255	5.50734e-05	-0.92075
4.2	-3	-3.57395	7.3682e-05	-0.911114
4.2	-2.8	-3.34378	6.50743e-05	-0.900223
4.2	-2.6	-3.11324	6.13579e-05	-0.888087
4.2	-2.4	-2.87659	7.51891e-05	-0.873038
4.2	-2.2	-2.6396	6.38566e-05	-0.855752
4.2	-2	-2.39325	9.31552e-05	-0.833576
4.2	-1.8	-2.16128	8.91266e-05	-0.812645
4.2	-1.6	-1.89962	7.06116e-05	-0.777996
4.2	-1.4	-1.65777	9.56182e-05	-0.743357
4.2	-1.2	-1.40587	6.3849e-05	-0.698182
4.2	-1	-1.14468	7.51324e-05	-0.635136
4.2	-0.8	-0.896475	6.82219e-05	-0.558949
4.2	-0.6	-0.658402	6.18363e-05	-0.458407
4.2	-0.4	-0.454176	3.22796e-05	-0.329216
4.2	-0.2	-0.318975	1.57095e-05	-0.18236
4.2	2.16493e-15	-0.262885	1.00105e-05	-0.00399756
4.2	0.2	-0.314119	2.10718e-05	0.174908
4.2	0.4	-0.458977	4.02076e-05	0.332569
4.2	0.6	-0.664941	5.43464e-05	0.462419
4.2	0.8	-0.891722	5.45119e-05	0.556119
4.2	1	-1.14551	7.3127e-05	0.635426
4.2	1.2	-1.40026	7.87625e-05	0.695549
4.2	1.4	-1.65275	6.97958e-05	0.741813
4.2	1.6	-1.90328	7.21891e-05	0.778946
4.2	1.8	-2.14566	8.36076e-05	0.807482
4.2	2	-2.39228	9.36184e-05	0.833293
4.2	2.2	-2.62881	7.76246e-05	0.852817
4.2	2.4	-2.87387	6.52996e-05	0.872239
4.2	2.6	-3.10904	6.12016e-05	0.887
4.2	2.8	-3.34623	6.42023e-05	0.900833
4.2	3	-3.57323	5.84411e-05	0.911015
4.2	3.2	-3.80492	6.00717e-05	0.921222
4.2	3.4	-4.03286	6.38802e-05	0.929872
4.2	3.6	-4.2612	5.27987e-05	0.937851
4.2	3.8	-4.48291	5.91176e-05	0.944039
4.2	4	-4.70436	4.7098e-05	0.949728
4.2	4.2	-4.92564	4.85022e-05	0.954944
4.2	4.4	-5.14285	4.84355e-05	0.959178
4.2	4.6	-5.35939	5.69941e-05	0.963068
4.2	4.8	-5.57985	4.5454e-05	0.967225
4.3	-5	-5.77106	0.000321954	-0.966907
4.3	-4.8	-5.5569	4.76418e-05	-0.963807
4.3	-4.6	-5.33504	5.31646e-05	-0.959255
4.3	-4.4	-5.1158	4.5882e-05	-0.954822
4.3	-4.2	-4.89979	4.81734e-05	-0.950642
4.3	-4	-4.67546	5.38969e-05	-0.944722
4.3	-3.8	-4.45493	6.47151e-05	-0.939
4.3	-3.6	-4.23445	6.02507e-05	-0.93283
4.3	-3.4	-4.00017	6.41498e-05	-0.923474
4.3	-3.2	-3.76762	4.97802e-05	-0.913625
4.3	-3	-3.54078	5.7339e-05	-0.904014
4.3	-2.8	-3.31565	5.25844e-05	-0.893899
4.3	-2.6	-3.07225	8.35682e-05	-0.878173
4.3	-2.4	-2.83516	7.8488e-05	-0.862339
4.3	-2.2	-2.59711	8.18768e-05	-0.844227
4.3	-2	-2.35406	6.51723e-05	-0.822146
4.3	-1.8	-2.10983	8.7727e-05	-0.796185
4.3	-1.6	-1.85741	6.64229e-05	-0.7629
4.3	-1.4	-1.60768	6.96467e-05	-0.724485
4.3	-1.2	-1.35563	6.94063e-05	-0.676049
4.3	-1	-1.10229	7.69991e-05	-0.613524
4.3	-0.8	-0.857715	6.74348e-05	-0.536638
4.3	-0.6	-0.635636	3.48483e-05	-0.441005
4.3	-0.4	-0.438216	2.80649e-05	-0.315897
4.3	-0.2	-0.309715	1.73456e-05	-0.17363
4.3	2.16493e-15	-0.254613	7.73182e-06	-0.00616846
4.3	0.2	-0.307484	1.33688e-05	0.174093
4.3	0.4	-0.434686	2.97733e-05	0.309643
4.3	0.6	-0.634213	4.97746e-05	0.439073
4.3	0.8	-0.862057	5.58017e-05	0.539375
4.3	1	-1.11327	6.79186e-05	0.619737
4.3	1.2	-1.35446	7.86646e-05	0.67549
4.3	1.4	-1.61108	9.65631e-05	0.725769
4.3	1.6	-1.8661	7.61954e-05	0.766362
4.3	1.8	-2.10046	7.62044e-05	0.793264
4.3	2	-2.34415	7.87221e-05	0.819254
4.3	2.2	-2.58953	7.43074e-05	0.842178
4.3	2.4	-2.8368	8.84036e-05	0.86278
4.3	2.6	-3.07139	7.07914e-05	0.878081
4.3	2.8	-3.30567	7.35425e-05	0.891598
4.3	3	-3.54377	5.86331e-05	0.904645
4.3	3.2	-3.76858	6.49396e-05	0.91383
4.3	3.4	-4.00013	5.96357e-05	0.923437
4.3	3.6	-4.22976	5.25903e-05	0.932008
4.3	3.8	-4.45109	5.9844e-05	0.938304
4.3	4	-4.6741	6.65008e-05	0.944478
4.3	4.2	-4.89938	5.17131e-05	0.950574
4.3	4.4	-5.12	5.11582e-05	0.955494
4.3	4.6	-5.33971	4.7837e-05	0.959971
4.3	4.8	-5.55273	4.13848e-05	0.963144
4.4	-5	-5.73997	0.000358347	-0.96235
4.4	-4.8	-5.53228	4.13411e-05	-0.960078
4.4	-4.6	-5.31677	4.23848e-05	-0.956415
4.4	-4.4	-5.085	5.35766e-05	-0.949859
4.4	-4.2	-4.87475	4.69928e-05	-0.946491
4.4	-4	-4.64333	4.60206e-05	-0.939156
4.4	-3.8	-4.41962	5.63713e-05	-0.93266
4.4	-3.6	-4.19495	6.24809e-05	-0.925376
4.4	-3.4	-3.96206	6.21791e-05	-0.916052
4.4	-3.2	-3.73534	5.53535e-05	-0.907025
4.4	-3	-3.49873	6.33824e-05	-0.89493
4.4	-2.8	-3.26877	6.10112e-05	-0.883201
4.4	-2.6	-3.03354	6.77234e-05	-0.868872
4.4	-2.4	-2.79217	7.5234e-05	-0.851417
4.4	-2.2	-2.54717	7.7727e-05	-0.830714
4.4	-2	-2.30928	7.97421e-05	-0.808972
4.4	-1.8	-2.06382	7.32572e-05	-0.781546
4.4	-1.6	-1.81394	8.18972e-05	-0.748039
4.4	-1.4	-1.56454	6.86486e-05	-0.707843
4.4	-1.2	-1.30743	7.92209e-05	-0.655574
4.4	-1	-1.06022	7.14053e-05	-0.592052
4.4	-0.8	-0.827657	5.8995e-05	-0.517866
4.4	-0.6	-0.611031	4.2581e-05	-0.423938
4.4	-0.4	-0.42421	3.41532e-05	-0.303708
4.4	-0.2	-0.293393	1.42358e-05	-0.154873
4.4	2.16493e-15	-0.248602	8.70144e-06	0.00654004
4.4	0.2	-0.296791	1.50161e-05	0.162913
4.4	0.4	-0.422871	2.50944e-05	0.302445
4.4	0.6	-0.607127	3.38467e-05	0.420804
4.4	0.8	-0.828201	6.34431e-05	0.518111
4.4	1	-1.06133	5.53653e-05	0.59308
4.4	1.2	-1.3035	6.83809e-05	0.653402
4.4	1.4	-1.5602	9.10603e-05	0.706229
4.4	1.6	-1.81141	6.93374e-05	0.747025
4.4	1.8	-2.05987	8.26677e-05	0.780107
4.4	2	-2.30215	7.27009e-05	0.806773
4.4	2.2	-2.54928	7.39708e-05	0.831088
4.4	2.4	-2.79424	8.28903e-05	0.851866
4.4	2.6	-3.0276	7.08208e-05	0.867434
4.4	2.8	-3.27101	7.36489e-05	0.883613
4.4	3	-3.50199	8.21454e-05	0.89567
4.4	3.2	-3.73355	5.6569e-05	0.90654
4.4	3.4	-3.96729	6.60804e-05	0.917003
4.4	3.6	-4.19062	6.45658e-05	0.924622
4.4	3.8	-4.41763	5.81715e-05	0.932258
4.4	4	-4.63905	6.00387e-05	0.93842
4.4	4.2	-4.86869	5.63357e-05	0.945439
4.4	4.4	-5.092	5.30312e-05	0.951014
4.4	4.6	-5.30952	5.82377e-05	0.955278
4.4	4.8	-5.53108	5.35293e-05	0.959891
4.5	-5	-5.71657	0.000304171	-0.958937
4.5	-4.8	-5.50595	4.54427e-05	-0.956086
4.5	-4.6	-5.2813	4.81364e-05	-0.95085
4.5	-4.4	-5.05813	5.25599e-05	-0.945535
4.5	-4.2	-4.83631	5.47194e-05	-0.940042
4.5	-4	-4.60897	5.85099e-05	-0.933156
4.5	-3.8	-4.38083	7.54756e-05	-0.925603
4.5	-3.6	-4.16481	5.91319e-05	-0.919747
4.5	-3.4	-3.92962	8.04871e-05	-0.909585
4.5	-3.2	-3.6991	6.17054e-05	-0.899461
4.5	-3	-3.46425	7.56987e-05	-0.887466
4.5	-2.8	-3.232	7.41758e-05	-0.87477
4.5	-2.6	-2.9876	7.49236e-05	-0.857811
4.5	-2.4	-2.75072	9.6562e-05	-0.84073
4.5	-2.2	-2.50849	6.36735e-05	-0.819891
4.5	-2	-2.27193	7.08257e-05	-0.797964
4.5	-1.8	-2.01762	7.05814e-05	-0.766633
4.5	-1.6	-1.76442	7.64387e-05	-0.730437
4.5	-1.4	-1.50395	8.04391e-05	-0.683536
4.5	-1.2	-1.27065	7.64643e-05	-0.63863
4.5	-1	-1.03304	6.79523e-05	-0.578937
4.5	-0.8	-0.790983	5.30758e-05	-0.496109
4.5	-0.6	-0.585385	3.19172e-05	-0.406651
4.5	-0.4	-0.402274	3.06719e-05	-0.282068
4.5	-0.2	-0.282313	1.39425e-05	-0.142783
4.5	2.16493e-15	-0.241799	7.63706e-06	0.00435693
4.5	0.2	-0.286715	1.19598e-05	0.153249
4.5	0.4	-0.40341	3.09266e-05	0.282943
4.5	0.6	-0.578671	4.23071e-05	0.398951
4.5	0.8	-0.794835	4.55913e-05	0.498496
4.5	1	-1.01124	6.56374e-05	0.567058
4.5	1.2	-1.27341	7.14163e-05	0.639506
4.5	1.4	-1.5184	7.57353e-05	0.689595
4.5	1.6	-1.76999	7.86534e-05	0.732422
4.5	1.8	-2.01475	9.22559e-05	0.765792
4.5	2	-2.26111	8.18669e-05	0.794832
4.5	2.2	-2.50103	7.43728e-05	0.817819
4.5	2.4	-2.74742	7.20698e-05	0.839729
4.5	2.6	-2.9877	8.46379e-05	0.857682
4.5	2.8	-3.23538	6.71966e-05	0.875617
4.5	3	-3.4596	7.80873e-05	0.886381
4.5	3.2	-3.69867	7.01339e-05	0.899476
4.5	3.4	-3.92806	6.34676e-05	0.909268
4.5	3.6	-4.15623	6.35945e-05	0.918103
4.5	3.8	-4.38902	5.81271e-05	0.927142
4.5	4	-4.61934	5.81885e-05	0.934972
4.5	4.2	-4.83899	6.09738e-05	0.940495
4.5	4.4	-5.06059	5.92823e-05	0.945938
4.5	4.6	-5.28576	6.4169e-05	0.951581
4.5	4.8	-5.50441	5.77993e-05	0.955864
4.6	-5	-5.68747	0.000259855	-0.954678
4.6	-4.8	-5.47933	5.86604e-05	-0.952074
4.6	-4.6	-5.25402	6.032e-05	-0.946583
4.6	-4.4	-5.02571	5.29416e-05	-0.940303
4.6	-4.2	-4.80677	5.52912e-05	-0.935124
4.6	-4	-4.57866	5.28215e-05	-0.927903
4.6	-3.8	-4.3543	5.95366e-05	-0.920801
4.6	-3.6	-4.12137	6.09685e-05	-0.911512
4.6	-3.4	-3.89376	6.31906e-05	-0.902428
4.6	-3.2	-3.65717	6.3908e-05	-0.890787
4.6	-3	-3.42553	7.87587e-05	-0.879014
4.6	-2.8	-3.19821	7.59635e-05	-0.867042
4.6	-2.6	-2.95104	7.55469e-05	-0.848788
4.6	-2.4	-2.70289	7.59247e-05	-0.828225
4.6	-2.2	-2.46966	7.99414e-05	-0.809144
4.6	-2	-2.21676	7.0676e-05	-0.781492
4.6	-1.8	-1.96893	8.30919e-05	-0.7508
4.6	-1.6	-1.71799	7.01546e-05	-0.713727
4.6	-1.4	-1.47713	7.07629e-05	-0.673395
4.6	-1.2	-1.22701	5.17688e-05	-0.619352
4.6	-1	-0.983535	6.0945e-05	-0.553417
4.6	-0.8	-0.764433	4.13994e-05	-0.480785
4.6	-0.6	-0.558343	3.95454e-05	-0.385455
4.6	-0.4	-0.384852	2.27165e-05	-0.268186
4.6	-0.2	-0.275343	1.10979e-05	-0.139927
4.6	2.16493e-15	-0.235804	7.0296e-06	0.00237988
4.6	0.2	-0.273027	1.18242e-05	0.133616
4.6	0.4	-0.387137	2.39946e-05	0.270292
4.6	0.6	-0.556624	3.93899e-05	0.383906
4.6	0.8	-0.754062	5.49853e-05	0.473992
4.6	1	-0.984748	5.49112e-05	0.553559
4.6	1.2	-1.23049	6.0362e-05	0.620439
4.6	1.4	-1.4756	7.68256e-05	0.672897
4.6	1.6	-1.72209	7.68961e-05	0.715384
4.6	1.8	-1.97101	7.8367e-05	0.751579
4.6	2	-2.21194	7.42645e-05	0.779734
4.6	2.2	-2.46105	8.17926e-05	0.806715
4.6	2.4	-2.70316	7.76629e-05	0.828256
4.6	2.6	-2.95176	7.97132e-05	0.84916
4.6	2.8	-3.18645	6.75016e-05	0.864261
4.6	3	-3.41834	7.78015e-05	0.877447
4.6	3.2	-3.66977	7.0583e-05	0.893376
4.6	3.4	-3.89696	6.91802e-05	0.903223
4.6	3.6	-4.13013	6.25897e-05	0.913233
4.6	3.8	-4.35273	6.69645e-05	0.92048
4.6	4	-4.5813	5.42961e-05	0.928324
4.6	4.2	-4.80565	6.04209e-05	0.93492
4.6	4.4	-5.03117	6.02874e-05	0.941174
4.6	4.6	-5.25649	5.85211e-05	0.947004
4.6	4.8	-5.47467	4.65518e-05	0.951403
4.7	-5	-5.66281	0.000277405	-0.951049
4.7	-4.8	-5.44843	5.54936e-05	-0.947412
4.7	-4.6	-5.2234	4.82303e-05	-0.941826
4.7	-4.4	-5.00527	5.30789e-05	-0.936975
4.7	-4.2	-4.77674	6.2301e-05	-0.930039
4.7	-4	-4.54382	6.3894e-05	-0.921819
4.7	-3.8	-4.32064	6.80116e-05	-0.914715
4.7	-3.6	-4.07744	6.26614e-05	-0.903215
4.7	-3.4	-3.84982	6.46886e-05	-0.893757
4.7	-3.2	-3.62948	6.79122e-05	-0.885083
4.7	-3	-3.38415	7.46648e-05	-0.869953
4.7	-2.8	-3.13854	7.52224e-05	-0.853221
4.7	-2.6	-2.90497	7.88529e-05	-0.83767
4.7	-2.4	-2.65925	7.18055e-05	-0.816802
4.7	-2.2	-2.41795	8.08785e-05	-0.794781
4.7	-2	-2.16779	6.99681e-05	-0.766644
4.7	-1.8	-1.9264	8.84144e-05	-0.736774
4.7	-1.6	-1.67908	8.05072e-05	-0.700087
4.7	-1.4	-1.42442	7.65782e-05	-0.652218
4.7	-1.2	-1.17649	7.46897e-05	-0.595815
4.7	-1	-0.946645	6.54793e-05	-0.534029
4.7	-0.8	-0.728226	5.37335e-05	-0.458008
4.7	-0.6	-0.524809	3.05312e-05	-0.360188
4.7	-0.4	-0.375133	2.00561e-05	-0.261074
4.7	-0.2	-0.265586	1.03252e-05	-0.130895
4.7	2.16493e-15	-0.230358	6.48308e-06	-0.0015127
4.7	0.2	-0.265452	8.06202e-06	0.130342
4.7	0.4	-0.372989	2.33909e-05	0.255487
4.7	0.6	-0.529238	3.10308e-05	0.362113
4.7	0.8	-0.731064	5.38342e-05	0.458874
4.7	1	-0.949967	6.25349e-05	0.536354
4.7	1.2	-1.17748	7.93141e-05	0.596399
4.7	1.4	-1.43245	6.06636e-05	0.655585
4.7	1.6	-1.68155	8.75865e-05	0.700841
4.7	1.8	-1.91133	6.45484e-05	0.731618
4.7	2	-2.1772	7.17633e-05	0.769739
4.7	2.2	-2.41983	7.65999e-05	0.795288
4.7	2.4	-2.65917	8.9293e-05	0.816971
4.7	2.6	-2.90345	8.59239e-05	0.837122
4.7	2.8	-3.1486	7.37907e-05	0.855478
4.7	3	-3.39079	7.40744e-05	0.871515
4.7	3.2	-3.62545	9.43665e-05	0.884194
4.7	3.4	-3.85771	6.57128e-05	0.895315
4.7	3.6	-4.08506	7.59321e-05	0.904652
4.7	3.8	-4.31938	6.31963e-05	0.914484
4.7	4	-4.54409	7.71412e-05	0.921868
4.7	4.2	-4.77663	6.02822e-05	0.930019
4.7	4.4	-5.00251	6.91822e-05	0.9365
4.7	4.6	-5.2241	4.91947e-05	0.941958
4.7	4.8	-5.44877	5.74008e-05	0.947457
4.8	-5	-5.63797	0.00026529	-0.947404
4.8	-4.8	-5.42256	5.523e-05	-0.943501
4.8	-4.6	-5.19525	5.52306e-05	-0.937412
4.8	-4.4	-4.9678	5.78754e-05	-0.930901
4.8	-4.2	-4.74769	7.62474e-05	-0.925128
4.8	-4	-4.51062	7.07482e-05	-0.915987
4.8	-3.8	-4.28542	5.82645e-05	-0.908231
4.8	-3.6	-4.04461	7.00411e-05	-0.896956
4.8	-3.4	-3.81536	6.25009e-05	-0.886839
4.8	-3.2	-3.5825	6.82747e-05	-0.875303
4.8	-3	-3.33475	8.29048e-05	-0.859021
4.8	-2.8	-3.09796	8.93905e-05	-0.843868
4.8	-2.6	-2.85781	7.56903e-05	-0.826042
4.8	-2.4	-2.62064	7.92575e-05	-0.806806
4.8	-2.2	-2.375	8.31658e-05	-0.782787
4.8	-2	-2.13411	7.92038e-05	-0.756235
4.8	-1.8	-1.88184	8.69773e-05	-0.722552
4.8	-1.6	-1.63399	7.2967e-05	-0.683534
4.8	-1.4	-1.39084	6.30189e-05	-0.638693
4.8	-1.2	-1.1467	6.41511e-05	-0.582917
4.8	-1	-0.911044	5.26461e-05	-0.515614
4.8	-0.8	-0.698954	3.6939e-05	-0.439177
4.8	-0.6	-0.510651	2.55689e-05	-0.348975
4.8	-0.4	-0.356545	2.43495e-05	-0.240094
4.8	-0.2	-0.256617	1.05761e-05	-0.118301
4.8	2.16493e-15	-0.22598	6.61567e-06	-0.00752051
4.8	0.2	-0.257338	1.00026e-05	0.122396
4.8	0.4	-0.354716	2.27129e-05	0.237218
4.8	0.6	-0.507845	2.78149e-05	0.347957
4.8	0.8	-0.702751	4.39821e-05	0.442259
4.8	1	-0.922758	5.13553e-05	0.521411
4.8	1.2	-1.14495	7.85657e-05	0.581883
4.8	1.4	-1.38628	7.3336e-05	0.637087
4.8	1.6	-1.63205	6.08103e-05	0.682874
4.8	1.8	-1.87878	7.06528e-05	0.721109
4.8	2	-2.12656	8.07523e-05	0.754178
4.8	2.2	-2.36922	7.78053e-05	0.780829
4.8	2.4	-2.61053	7.29211e-05	0.803966
4.8	2.6	-2.85905	8.65562e-05	0.826389
4.8	2.8	-3.09704	7.18741e-05	0.843613
4.8	3	-3.34102	8.04374e-05	0.860603
4.8	3.2	-3.58149	7.23561e-05	0.87505
4.8	3.4	-3.82064	7.77505e-05	0.887951
4.8	3.6	-4.04854	6.60691e-05	0.897671
4.8	3.8	-4.28051	6.73382e-05	0.90733
4.8	4	-4.51484	6.5115e-05	0.916736
4.8	4.2	-4.74559	6.44109e-05	0.924786
4.8	4.4	-4.96074	6.19043e-05	0.929717
4.8	4.6	-5.19502	5.57795e-05	0.937388
4.8	4.8	-5.42434	5.74872e-05	0.943726
4.9	-5	-5.6071	0.000262925	-0.942836
4.9	-4.8	-5.39157	5.46228e-05	-0.938777
4.9	-4.6	-5.15694	5.55081e-05	-0.931403
4.9	-4.4	-4.93605	5.69338e-05	-0.92574
4.9	-4.2	-4.70639	7.9358e-05	-0.918196
4.9	-4	-4.46911	8.46289e-05	-0.908724
4.9	-3.8	-4.2407	7.53269e-05	-0.900048
4.9	-3.6	-4.01572	6.99936e-05	-0.891351
4.9	-3.4	-3.78194	7.05774e-05	-0.880328
4.9	-3.2	-3.54452	8.44987e-05	-0.867182
4.9	-3	-3.29309	7.66935e-05	-0.849866
4.9	-2.8	-3.06489	7.98349e-05	-0.83618
4.9	-2.6	-2.82205	9.03794e-05	-0.817098
4.9	-2.4	-2.57152	9.57283e-05	-0.793696
4.9	-2.2	-2.3358	8.54717e-05	-0.771477
4.9	-2	-2.08226	8.02077e-05	-0.740605
4.9	-1.8	-1.8446	7.1515e-05	-0.7097
4.9	-1.6	-1.59483	6.78393e-05	-0.669021
4.9	-1.4	-1.34463	5.63957e-05	-0.619753
4.9	-1.2	-1.11102	5.67031e-05	-0.566351
4.9	-1	-0.882696	5.97649e-05	-0.500357
4.9	-0.8	-0.677996	3.62922e-05	-0.426483
4.9	-0.6	-0.497058	3.30032e-05	-0.340095
4.9	-0.4	-0.350882	1.63301e-05	-0.241733
4.9	-0.2	-0.252329	9.52892e-06	-0.122848
4.9	2.16493e-15	-0.218764	5.29513e-06	0.00278271
4.9	0.2	-0.250676	1.14366e-05	0.116983
4.9	0.4	-0.34264	2.09405e-05	0.226821
4.9	0.6	-0.489904	2.86954e-05	0.333641
4.9	0.8	-0.674691	5.49763e-05	0.425151
4.9	1	-0.880299	6.87354e-05	0.49877
4.9	1.2	-1.10555	7.16983e-05	0.563919
4.9	1.4	-1.34822	6.93511e-05	0.621362
4.9	1.6	-1.59236	6.21902e-05	0.668158
