size	128
J	1
H	0
T	E	m
2.39	-0.672557	0.660951
2.4	-0.653839	0.629718
2.41	-0.655651	0.626162
2.42	-0.648807	0.631485
2.43	-0.642035	0.599733
2.44	-0.642622	0.593685
2.45	-0.626365	0.56796
2.46	-0.634414	0.588807
2.47	-0.617252	0.557156
2.48	-0.607415	0.54727
2.49	-0.609264	0.533106
2.5	-0.605164	0.530682
2.51	-0.598103	0.499369
2.52	-0.587714	0.512485
2.53	-0.572903	0.457008
2.54	-0.575084	0.450553
2.55	-0.567163	0.450333
2.56	-0.570978	0.461829
2.57	-0.546463	0.397911
2.58	-0.54362	0.379912
2.59	-0.555882	0.389132
2.6	-0.550364	0.411182
2.61	-0.539699	0.370236
2.62	-0.525015	0.305115
2.63	-0.519934	0.361947
2.64	-0.52609	0.341055
2.65	-0.521215	0.34253
2.66	-0.523079	0.330431
2.67	-0.510906	0.315969
2.68	-0.4996	0.25505
2.69	-0.501751	0.283839
2.7	-0.499543	0.273057
2.71	-0.499816	0.270297
2.72	-0.477507	0.21488
2.73	-0.475996	0.249044
2.74	-0.486825	0.237119
2.75	-0.480494	0.191592
2.76	-0.466703	0.150266
2.77	-0.472883	0.238951
2.78	-0.468271	0.202908
2.79	-0.45537	0.175199
2.8	-0.464747	0.15909
2.81	-0.452979	0.160016
2.82	-0.456716	0.116588
2.83	-0.468603	0.191883
2.84	-0.44648	0.146171
2.85	-0.444734	0.0969685
2.86	-0.44545	0.110005
2.87	-0.428589	0.12162
2.88	-0.442489	0.103497
2.89	-0.43288	0.117778
2.9	-0.422897	0.0860455
2.91	-0.434896	0.102883
2.92	-0.42699	0.107173
2.93	-0.421693	0.0862927
2.94	-0.417129	0.07903
2.95	-0.423747	0.107497
2.96	-0.417292	0.123391
2.97	-0.413534	0.0728691
2.98	-0.414214	0.0546967
2.99	-0.410298	0.0394684
3	-0.415019	0.0877532
3.01	-0.410497	0.0568597
3.02	-0.415488	0.0231173
3.03	-0.403819	0.0546174
3.04	-0.406186	0.0740071
3.05	-0.391609	0.0292609
3.06	-0.397009	0.0428329
3.07	-0.391166	0.0230946
3.08	-0.390119	0.0437024
3.09	-0.396338	0.0224288
3.1	-0.382987	-0.00428027
3.11	-0.384969	0.0516304
3.12	-0.388116	0.0236146
3.13	-0.393113	0.0371406
3.14	-0.379488	0.0143076
3.15	-0.382471	0.0386555
3.16	-0.374189	0.0339491
3.17	-0.375761	0.0308425
3.18	-0.381048	0.00819189
3.19	-0.378229	0.0138733
3.2	-0.366436	0.0571124
3.21	-0.3649	0.0403965
3.22	-0.371009	0.00551831
3.23	-0.365695	0.0560558
3.24	-0.360581	0.00663257
3.25	-0.364362	0.0262721
3.26	-0.373225	-0.00106323
3.27	-0.359522	0.00154358
3.28	-0.362953	0.0512729
3.29	-0.361047	-0.0106768
3.3	-0.364959	0.00870691
3.31	-0.352517	0.00825037
3.32	-0.355517	0.0137347
3.33	-0.352278	-0.00612488
3.34	-0.355554	0.00926819
3.35	-0.349753	0.0137891
3.36	-0.342195	0.014353
3.37	-0.349578	-0.0180367
3.38	-0.3436	0.0141047
3.39	-0.348306	-0.0188007
3.4	-0.339676	0.0149697
3.41	-0.339053	-0.00788342
3.42	-0.332594	0.0066322
3.43	-0.342766	0.0205876
3.44	-0.328123	0.0070907
3.45	-0.337267	-0.00551343
3.46	-0.335934	0.0207073
3.47	-0.333724	-0.00993213
3.48	-0.330719	-0.00915283
3.49	-0.334051	0.0139806
3.5	-0.334123	0.00527051
3.51	-0.327043	-0.0279333
3.52	-0.329082	0.023756
3.53	-0.326496	0.0239918
3.54	-0.326481	0.00844312
3.55	-0.323154	0.0105533
3.56	-0.323348	0.0145476
3.57	-0.324024	-0.0244709
3.58	-0.325775	-0.0248379
3.59	-0.323508	-0.00157935
3.6	-0.321815	0.0462072
3.61	-0.316532	0.0229955
3.62	-0.316939	0.0148677
3.63	-0.310752	0.0080061
3.64	-0.312719	0.00913745
3.65	-0.314308	0.0136458
3.66	-0.319117	0.00969934
3.67	-0.302286	0.0133833
3.68	-0.311424	0.0197858
3.69	-0.307598	0.0239534
3.7	-0.304717	-0.0218167
3.71	-0.304675	0.00720081
3.72	-0.300665	0.00640344
3.73	-0.300731	-0.00755127
3.74	-0.300925	0.00218933
3.75	-0.296866	0.0230048
3.76	-0.305719	-0.00853455
3.77	-0.29768	0.017042
3.78	-0.305399	0.00492822
3.79	-0.298511	-0.000390991
3.8	-0.295809	0.0151558
3.81	-0.290466	-0.0148025
3.82	-0.299527	-0.0267926
3.83	-0.300106	0.0262979
3.84	-0.293238	0.00319922
3.85	-0.293638	0.00319153
3.86	-0.293409	0.00966003
3.87	-0.290898	0.0122451
3.88	-0.286969	0.0057887
3.89	-0.289914	-0.00863599
3.9	-0.289663	0.0123809
3.91	-0.281093	0.00402844
3.92	-0.286656	0.0167368
3.93	-0.288424	0.00761328
3.94	-0.286004	0.0102999
3.95	-0.279611	0.0214105
3.96	-0.286431	0.00621851
3.97	-0.279021	0.00560266
3.98	-0.27786	-0.000909058
3.99	-0.281343	0.00412195
4	-0.274157	0.0369612
